"Year","Sex","AgeGroup","Population"
2013,"Female",6,101412
2013,"Female",7,96648
2013,"Female",8,93681
2013,"Female",9,102518
2013,"Female",10,94217
2013,"Female",11,94348
2013,"Female",12,83340
2013,"Female",13,74989
2013,"Female",14,64648
2013,"Female",15,46217
2013,"Female",16,33654
2013,"Female",17,26259
2013,"Female",18,29267
2014,"Male",1,97792
2014,"Male",2,98076
2014,"Male",3,92162
2014,"Male",4,94123
2014,"Male",5,103053
2014,"Male",6,102328
2014,"Male",7,99174
2014,"Male",8,91642
2014,"Male",9,100340
2014,"Male",10,91560
2014,"Male",11,92817
2014,"Male",12,83444
2014,"Male",13,75193
2014,"Male",14,68266
2014,"Male",15,47819
2014,"Male",16,33044
2014,"Male",17,21509
2014,"Male",18,17291
2014,"Female",1,92766
2014,"Female",2,92849
2014,"Female",3,87541
2014,"Female",4,90539
2014,"Female",5,99993
2014,"Female",6,102155
2014,"Female",7,99139
2014,"Female",8,93578
2014,"Female",9,103400
2014,"Female",10,94705
2014,"Female",11,95586
2014,"Female",12,85230
2014,"Female",13,76210
2014,"Female",14,67423
2014,"Female",15,48610
2014,"Female",16,35487
2014,"Female",17,26731
2014,"Female",18,30175
2015,"Male",1,97489
2015,"Male",2,100463
2015,"Male",3,93097
2015,"Male",4,93693
2015,"Male",5,103625
2015,"Male",6,103115
2015,"Male",7,100154
2015,"Male",8,91811
2015,"Male",9,99637
2015,"Male",10,92827
2015,"Male",11,92991
2015,"Male",12,84680
2015,"Male",13,75792
2015,"Male",14,70474
2015,"Male",15,50858
2015,"Male",16,34636
2015,"Male",17,21946
2015,"Male",18,17991
2015,"Female",1,92696
2015,"Female",2,94751
2015,"Female",3,88084
2015,"Female",4,89631
2015,"Female",5,100787
2015,"Female",6,103405
2015,"Female",7,101903
2015,"Female",8,94009
2015,"Female",9,102817
2015,"Female",10,96917
2015,"Female",11,95998
2015,"Female",12,87735
2015,"Female",13,77764
2015,"Female",14,69798
2015,"Female",15,51455
2015,"Female",16,36721
2015,"Female",17,26520
2015,"Female",18,31232
2016,"Male",1,97597
2016,"Male",2,101901
2016,"Male",3,94459
2016,"Male",4,94313
2016,"Male",5,103820
2016,"Male",6,103903
2016,"Male",7,101012
2016,"Male",8,92912
2016,"Male",9,97742
2016,"Male",10,95679
2016,"Male",11,91784
2016,"Male",12,87155
2016,"Male",13,76480
2016,"Male",14,72348
2016,"Male",15,53588
2016,"Male",16,36249
2016,"Male",17,22387
2016,"Male",18,18958
2016,"Female",1,92736
2016,"Female",2,96703
2016,"Female",3,89677
2016,"Female",4,90133
2016,"Female",5,101445
2016,"Female",6,104538
2016,"Female",7,103468
2016,"Female",8,95298
2016,"Female",9,100653
2016,"Female",10,100750
2016,"Female",11,95446
2016,"Female",12,90338
2016,"Female",13,79096
2016,"Female",14,72815
2016,"Female",15,54091
2016,"Female",16,38937
2016,"Female",17,27228
2016,"Female",18,32134
2017,"Male",1,97628
2017,"Male",2,102377
2017,"Male",3,97202
2017,"Male",4,95512
2017,"Male",5,103892
2017,"Male",6,105400
2017,"Male",7,102667
2017,"Male",8,95076
2017,"Male",9,96288
2017,"Male",10,98755
2017,"Male",11,91519
2017,"Male",12,89425
2017,"Male",13,77889
2017,"Male",14,72262
2017,"Male",15,57866
2017,"Male",16,38491
2017,"Male",17,23454
2017,"Male",18,19538
2017,"Female",1,92273
2017,"Female",2,97464
2017,"Female",3,91974
2017,"Female",4,91076
2017,"Female",5,101384
2017,"Female",6,106463
2017,"Female",7,105449
2017,"Female",8,97733
2017,"Female",9,99265
2017,"Female",10,103113
2017,"Female",11,95770
2017,"Female",12,93026
2017,"Female",13,81419
2017,"Female",14,73414
2017,"Female",15,58478
2017,"Female",16,40354
2017,"Female",17,27848
2017,"Female",18,32292
2018,"Male",1,96747
2018,"Male",2,103573
2018,"Male",3,100939
2018,"Male",4,96242
2018,"Male",5,103634
2018,"Male",6,106953
2018,"Male",7,103490
2018,"Male",8,98506
2018,"Male",9,95242
2018,"Male",10,101374
2018,"Male",11,91762
2018,"Male",12,90933
2018,"Male",13,79702
2018,"Male",14,72962
2018,"Male",15,62014
2018,"Male",16,40144
2018,"Male",17,24967
2018,"Male",18,19867
2018,"Female",1,91800
2018,"Female",2,98146
2018,"Female",3,94795
2018,"Female",4,91077
2018,"Female",5,101827
2018,"Female",6,108254
2018,"Female",7,106675
2018,"Female",8,102294
2018,"Female",9,98226
2018,"Female",10,105538
2018,"Female",11,95708
2018,"Female",12,95045
2018,"Female",13,83627
2018,"Female",14,75048
2018,"Female",15,62615
2018,"Female",16,42715
2018,"Female",17,29182
2018,"Female",18,32969
2019,"Male",1,96218
2019,"Male",2,103823
2019,"Male",3,104428
2019,"Male",4,96954
2019,"Male",5,103886
2019,"Male",6,108484
2019,"Male",7,104524
2019,"Male",8,101714
2019,"Male",9,94347
2019,"Male",10,102564
2019,"Male",11,92733
2019,"Male",12,92988
2019,"Male",13,82062
2019,"Male",14,73845
2019,"Male",15,64560
2019,"Male",16,42846
2019,"Male",17,26081
2019,"Male",18,20692
2019,"Female",1,90892
2019,"Female",2,98821
2019,"Female",3,97722
2019,"Female",4,91717
2019,"Female",5,102210
2019,"Female",6,109616
2019,"Female",7,108163
2019,"Female",8,105355
2019,"Female",9,98782
2019,"Female",10,106264
2019,"Female",11,96442
2019,"Female",12,97013
2019,"Female",13,86081
2019,"Female",14,76579
2019,"Female",15,65949
2019,"Female",16,45084
2019,"Female",17,30669
2019,"Female",18,33509
2020,"Male",1,95161
2020,"Male",2,103815
2020,"Male",3,107294
2020,"Male",4,97273
2020,"Male",5,103076
2020,"Male",6,108585
2020,"Male",7,106263
2020,"Male",8,104830
2020,"Male",9,95123
2020,"Male",10,103353
2020,"Male",11,94757
2020,"Male",12,93587
2020,"Male",13,84464
2020,"Male",14,74749
2020,"Male",15,67428
2020,"Male",16,45411
2020,"Male",17,28080
2020,"Male",18,21648
2020,"Female",1,89630
2020,"Female",2,98766
2020,"Female",3,100567
2020,"Female",4,92398
2020,"Female",5,100929
2020,"Female",6,109775
2020,"Female",7,109517
2020,"Female",8,108828
2020,"Female",9,100241
2020,"Female",10,106612
2020,"Female",11,98704
2020,"Female",12,98446
2020,"Female",13,88912
2020,"Female",14,78891
2020,"Female",15,69655
2020,"Female",16,48143
2020,"Female",17,32017
2020,"Female",18,33749
2021,"Male",1,93617
2021,"Male",2,103615
2021,"Male",3,108415
2021,"Male",4,97789
2021,"Male",5,101225
2021,"Male",6,106826
2021,"Male",7,107267
2021,"Male",8,107352
2021,"Male",9,97355
2021,"Male",10,101610
2021,"Male",11,98831
2021,"Male",12,93840
2021,"Male",13,87410
2021,"Male",14,76173
2021,"Male",15,69134
2021,"Male",16,48349
2021,"Male",17,29791
2021,"Male",18,22563
2021,"Female",1,87633
2021,"Female",2,97768
2021,"Female",3,101969
2021,"Female",4,93109
2021,"Female",5,98030
2021,"Female",6,107634
2021,"Female",7,110289
2021,"Female",8,110877
2021,"Female",9,102242
2021,"Female",10,104717
2021,"Female",11,101714
2021,"Female",12,97798
2021,"Female",13,91770
2021,"Female",14,80484
2021,"Female",15,72290
2021,"Female",16,51035
2021,"Female",17,33733
2021,"Female",18,34962
2022,"Male",1,94685
2022,"Male",2,103632
2022,"Male",3,109232
2022,"Male",4,102032
2022,"Male",5,102857
2022,"Male",6,108448
2022,"Male",7,109714
2022,"Male",8,108878
2022,"Male",9,100862
2022,"Male",10,100322
2022,"Male",11,102422
2022,"Male",12,93924
2022,"Male",13,89973
2022,"Male",14,77679
2022,"Male",15,69650
2022,"Male",16,52823
2022,"Male",17,30964
2022,"Male",18,23774
2022,"Female",1,89270
2022,"Female",2,97758
2022,"Female",3,103462
2022,"Female",4,96198
2022,"Female",5,99078
2022,"Female",6,107775
2022,"Female",7,113011
2022,"Female",8,113444
2022,"Female",9,105531
2022,"Female",10,103959
2022,"Female",11,105607
2022,"Female",12,97204
2022,"Female",13,94818
2022,"Female",14,82346
2022,"Female",15,73013
2022,"Female",16,55796
2022,"Female",17,35556
2022,"Female",18,35776
2005,"Persons",1,154954
2005,"Persons",2,160144
2005,"Persons",3,169252
2005,"Persons",4,162530
2005,"Persons",5,167664
2005,"Persons",6,155476
2005,"Persons",7,173710
2005,"Persons",8,169367
2005,"Persons",9,177802
2005,"Persons",10,167723
2005,"Persons",11,154405
2005,"Persons",12,144852
2005,"Persons",13,110862
2005,"Persons",14,85523
2005,"Persons",15,67077
2005,"Persons",16,57190
2005,"Persons",17,40851
2005,"Persons",18,31776
2006,"Persons",1,158047
2006,"Persons",2,162170
2006,"Persons",3,170757
2006,"Persons",4,165864
2006,"Persons",5,172641
2006,"Persons",6,160324
2006,"Persons",7,172817
2006,"Persons",8,176655
2006,"Persons",9,177529
2006,"Persons",10,172316
2006,"Persons",11,157867
2006,"Persons",12,149794
2006,"Persons",13,117342
2006,"Persons",14,89131
2006,"Persons",15,68305
2006,"Persons",16,57825
2006,"Persons",17,41645
2006,"Persons",18,33790
2007,"Persons",1,164270
2007,"Persons",2,164674
2007,"Persons",3,171805
2007,"Persons",4,170939
2007,"Persons",5,177312
2007,"Persons",6,168013
2007,"Persons",7,171919
2007,"Persons",8,184299
2007,"Persons",9,177889
2007,"Persons",10,178122
2007,"Persons",11,160727
2007,"Persons",12,149462
2007,"Persons",13,126582
2007,"Persons",14,93264
2007,"Persons",15,70357
2007,"Persons",16,58819
2007,"Persons",17,42803
2007,"Persons",18,35856
2008,"Persons",1,172332
2008,"Persons",2,166660
2008,"Persons",3,173169
2008,"Persons",4,175830
2008,"Persons",5,181585
2008,"Persons",6,177160
2008,"Persons",7,172669
2008,"Persons",8,190565
2008,"Persons",9,178737
2008,"Persons",10,182874
2008,"Persons",11,164602
2008,"Persons",12,151428
2008,"Persons",13,134130
2008,"Persons",14,97253
2008,"Persons",15,72896
2008,"Persons",16,58618
2008,"Persons",17,43674
2008,"Persons",18,37141
2009,"Persons",1,179228
2009,"Persons",2,169205
2009,"Persons",3,174266
2009,"Persons",4,180159
2009,"Persons",5,188082
2009,"Persons",6,187543
2009,"Persons",7,174435
2009,"Persons",8,193944
2009,"Persons",9,181110
2009,"Persons",10,186356
2009,"Persons",11,168655
2009,"Persons",12,153703
2009,"Persons",13,139450
2009,"Persons",14,102581
2009,"Persons",15,76438
2009,"Persons",16,58656
2009,"Persons",17,44679
2009,"Persons",18,38655
2010,"Persons",1,182317
2010,"Persons",2,172157
2010,"Persons",3,174994
2010,"Persons",4,181154
2010,"Persons",5,191226
2010,"Persons",6,193023
2010,"Persons",7,176597
2010,"Persons",8,193796
2010,"Persons",9,184800
2010,"Persons",10,186760
2010,"Persons",11,172980
2010,"Persons",12,155458
2010,"Persons",13,143551
2010,"Persons",14,108990
2010,"Persons",15,79953
2010,"Persons",16,59221
2010,"Persons",17,45707
2010,"Persons",18,39975
2011,"Persons",1,182659
2011,"Persons",2,176248
2011,"Persons",3,176323
2011,"Persons",4,181563
2011,"Persons",5,192897
2011,"Persons",6,196250
2011,"Persons",7,180713
2011,"Persons",8,190348
2011,"Persons",9,192213
2011,"Persons",10,185723
2011,"Persons",11,177401
2011,"Persons",12,158504
2011,"Persons",13,146990
2011,"Persons",14,115027
2011,"Persons",15,83451
2011,"Persons",16,60855
2011,"Persons",17,47066
2011,"Persons",18,42172
2012,"Persons",1,187247
2012,"Persons",2,180651
2012,"Persons",3,177562
2012,"Persons",4,183324
2012,"Persons",5,196916
2012,"Persons",6,200948
2012,"Persons",7,186520
2012,"Persons",8,188312
2012,"Persons",9,198435
2012,"Persons",10,185231
2012,"Persons",11,182987
2012,"Persons",12,161349
2012,"Persons",13,147195
2012,"Persons",14,123174
2012,"Persons",15,87866
2012,"Persons",16,62650
2012,"Persons",17,47201
2012,"Persons",18,43888
2013,"Persons",1,190256
2013,"Persons",2,185933
2013,"Persons",3,177982
2013,"Persons",4,184723
2013,"Persons",5,199735
2013,"Persons",6,203917
2013,"Persons",7,193474
2013,"Persons",8,186488
2013,"Persons",9,202801
2013,"Persons",10,185539
2013,"Persons",11,186692
2013,"Persons",12,164773
2013,"Persons",13,149584
2013,"Persons",14,130041
2013,"Persons",15,91819
2013,"Persons",16,64825
2013,"Persons",17,47782
2013,"Persons",18,45408
2014,"Persons",1,190946
2014,"Persons",2,191120
2014,"Persons",3,179474
2014,"Persons",4,184642
2014,"Persons",5,202648
2014,"Persons",6,204514
2014,"Persons",7,197957
2014,"Persons",8,185113
2014,"Persons",9,204034
2014,"Persons",10,186757
2014,"Persons",11,188993
2014,"Persons",12,168591
2014,"Persons",13,151887
2014,"Persons",14,135276
2014,"Persons",15,96965
2014,"Persons",16,68263
2014,"Persons",17,47637
2014,"Persons",18,47598
2015,"Persons",1,190258
2015,"Persons",2,195038
2015,"Persons",3,181340
2015,"Persons",4,183799
2015,"Persons",5,204258
2015,"Persons",6,206518
2015,"Persons",7,201975
2015,"Persons",8,185538
2015,"Persons",9,202584
2015,"Persons",10,189927
2015,"Persons",11,188789
2015,"Persons",12,172352
2015,"Persons",13,153350
2015,"Persons",14,140242
2015,"Persons",15,102190
2015,"Persons",16,71757
2015,"Persons",17,48156
2015,"Persons",18,48894
2016,"Persons",1,190338
2016,"Persons",2,198140
2016,"Persons",3,183754
2016,"Persons",4,184299
2016,"Persons",5,204615
2016,"Persons",6,208789
2016,"Persons",7,205189
2016,"Persons",8,187999
2016,"Persons",9,198335
2016,"Persons",10,196201
2016,"Persons",11,187543
2016,"Persons",12,176947
2016,"Persons",13,156156
2016,"Persons",14,144896
2016,"Persons",15,107566
2016,"Persons",16,75221
2016,"Persons",17,49656
2016,"Persons",18,51148
2017,"Persons",1,189871
2017,"Persons",2,200383
2017,"Persons",3,188937
2017,"Persons",4,186622
2017,"Persons",5,205460
2017,"Persons",6,212110
2017,"Persons",7,208663
2017,"Persons",8,193370
2017,"Persons",9,195350
2017,"Persons",10,201992
2017,"Persons",11,187406
2017,"Persons",12,182217
2017,"Persons",13,159300
2017,"Persons",14,145432
2017,"Persons",15,116422
2017,"Persons",16,78704
2017,"Persons",17,51582
2017,"Persons",18,51819
2018,"Persons",1,188648
2018,"Persons",2,201790
2018,"Persons",3,195500
2018,"Persons",4,187078
2018,"Persons",5,205360
2018,"Persons",6,215133
2018,"Persons",7,210453
2018,"Persons",8,200746
2018,"Persons",9,193174
2018,"Persons",10,206995
2018,"Persons",11,187393
2018,"Persons",12,185960
2018,"Persons",13,163425
2018,"Persons",14,147969
2018,"Persons",15,124870
2018,"Persons",16,82613
2018,"Persons",17,53895
2018,"Persons",18,52795
2019,"Persons",1,187390
2019,"Persons",2,202692
2019,"Persons",3,202113
2019,"Persons",4,188963
2019,"Persons",5,206090
2019,"Persons",6,218022
2019,"Persons",7,213211
2019,"Persons",8,207438
2019,"Persons",9,192846
2019,"Persons",10,209045
2019,"Persons",11,188965
2019,"Persons",12,189638
2019,"Persons",13,168058
2019,"Persons",14,150365
2019,"Persons",15,130933
2019,"Persons",16,87583
2019,"Persons",17,56952
2019,"Persons",18,54137
2020,"Persons",1,184960
2020,"Persons",2,202768
2020,"Persons",3,207584
2020,"Persons",4,189786
2020,"Persons",5,203998
2020,"Persons",6,218602
2020,"Persons",7,215691
2020,"Persons",8,213436
2020,"Persons",9,195437
2020,"Persons",10,209390
2020,"Persons",11,193302
2020,"Persons",12,191994
2020,"Persons",13,173999
2020,"Persons",14,153450
2020,"Persons",15,136711
2020,"Persons",16,93341
2020,"Persons",17,59760
2020,"Persons",18,55717
2021,"Persons",1,180898
2021,"Persons",2,201599
2021,"Persons",3,210387
2021,"Persons",4,190913
2021,"Persons",5,199384
2021,"Persons",6,214321
2021,"Persons",7,217713
2021,"Persons",8,218167
2021,"Persons",9,199252
2021,"Persons",10,206432
2021,"Persons",11,200398
2021,"Persons",12,191362
2021,"Persons",13,179270
2021,"Persons",14,156708
2021,"Persons",15,142057
2021,"Persons",16,99116
2021,"Persons",17,62883
2021,"Persons",18,57358
2022,"Persons",1,183723
2022,"Persons",2,201697
2022,"Persons",3,213423
2022,"Persons",4,198393
2022,"Persons",5,201611
2022,"Persons",6,216235
2022,"Persons",7,222206
2022,"Persons",8,222318
2022,"Persons",9,206513
2022,"Persons",10,204038
2022,"Persons",11,207882
2022,"Persons",12,191259
2022,"Persons",13,184763
2022,"Persons",14,160304
2022,"Persons",15,142514
2022,"Persons",16,108770
2022,"Persons",17,66387
2022,"Persons",18,59484
