"Year","Sex","AgeGroup","Cancer","Diagnoses"
2018,1,16,"Colorectal",148
2018,1,17,"Colorectal",146
2018,1,18,"Colorectal",83
2018,2,3,"Colorectal",17
2018,2,4,"Colorectal",9
2018,2,5,"Colorectal",20
2018,2,7,"Colorectal",14
2018,2,8,"Colorectal",34
2018,2,9,"Colorectal",20
2018,2,10,"Colorectal",32
2018,2,11,"Colorectal",46
2018,2,12,"Colorectal",61
2018,2,13,"Colorectal",89
2018,2,14,"Colorectal",103
2018,2,15,"Colorectal",112
2018,2,16,"Colorectal",120
2018,2,17,"Colorectal",127
2018,2,18,"Colorectal",141
2019,1,3,"Colorectal",10
2019,1,5,"Colorectal",2
2019,1,6,"Colorectal",10
2019,1,7,"Colorectal",1
2019,1,8,"Colorectal",22
2019,1,9,"Colorectal",40
2019,1,10,"Colorectal",42
2019,1,11,"Colorectal",89
2019,1,12,"Colorectal",75
2019,1,13,"Colorectal",148
2019,1,14,"Colorectal",163
2019,1,15,"Colorectal",187
2019,1,16,"Colorectal",132
2019,1,17,"Colorectal",150
2019,1,18,"Colorectal",146
2019,2,1,"Colorectal",6
2019,2,2,"Colorectal",3
2019,2,4,"Colorectal",16
2019,2,6,"Colorectal",9
2019,2,8,"Colorectal",20
2019,2,9,"Colorectal",16
2019,2,10,"Colorectal",34
2019,2,11,"Colorectal",75
2019,2,12,"Colorectal",49
2019,2,13,"Colorectal",85
2019,2,14,"Colorectal",105
2019,2,15,"Colorectal",145
2019,2,16,"Colorectal",114
2019,2,17,"Colorectal",148
2019,2,18,"Colorectal",132
2020,1,2,"Colorectal",16
2020,1,3,"Colorectal",2
2020,1,5,"Colorectal",5
2020,1,7,"Colorectal",11
2020,1,8,"Colorectal",26
2020,1,9,"Colorectal",34
2020,1,10,"Colorectal",27
2020,1,11,"Colorectal",89
2020,1,12,"Colorectal",118
2020,1,13,"Colorectal",148
2020,1,14,"Colorectal",145
2020,1,15,"Colorectal",154
2020,1,16,"Colorectal",151
2020,1,17,"Colorectal",130
2020,1,18,"Colorectal",132
2020,2,2,"Colorectal",6
2020,2,4,"Colorectal",16
2020,2,5,"Colorectal",20
2020,2,7,"Colorectal",19
2020,2,8,"Colorectal",32
2020,2,9,"Colorectal",17
2020,2,10,"Colorectal",45
2020,2,11,"Colorectal",67
2020,2,12,"Colorectal",71
2020,2,13,"Colorectal",112
2020,2,14,"Colorectal",110
2020,2,15,"Colorectal",98
2020,2,16,"Colorectal",105
2020,2,17,"Colorectal",117
2020,2,18,"Colorectal",170
2021,1,1,"Colorectal",1
2021,1,4,"Colorectal",13
2021,1,5,"Colorectal",7
2021,1,6,"Colorectal",14
2021,1,8,"Colorectal",47
2021,1,9,"Colorectal",33
2021,1,10,"Colorectal",45
2021,1,11,"Colorectal",84
2021,1,12,"Colorectal",84
2021,1,13,"Colorectal",109
2021,1,14,"Colorectal",136
2021,1,15,"Colorectal",157
2021,1,16,"Colorectal",136
2021,1,17,"Colorectal",111
2021,1,18,"Colorectal",115
2021,2,3,"Colorectal",10
2021,2,4,"Colorectal",18
2021,2,5,"Colorectal",8
2021,2,7,"Colorectal",8
2021,2,8,"Colorectal",55
2021,2,9,"Colorectal",11
2021,2,10,"Colorectal",72
2021,2,11,"Colorectal",50
2021,2,12,"Colorectal",83
2021,2,13,"Colorectal",105
2021,2,14,"Colorectal",110
2021,2,15,"Colorectal",107
2021,2,16,"Colorectal",121
2021,2,17,"Colorectal",114
2021,2,18,"Colorectal",131
2022,1,2,"Colorectal",2
2022,1,4,"Colorectal",3
2022,1,6,"Colorectal",24
2022,1,8,"Colorectal",43
2022,1,9,"Colorectal",19
2022,1,10,"Colorectal",42
2022,1,11,"Colorectal",64
2022,1,12,"Colorectal",107
2022,1,13,"Colorectal",119
2022,1,14,"Colorectal",102
2022,1,15,"Colorectal",162
2022,1,16,"Colorectal",152
2022,1,17,"Colorectal",114
2022,1,18,"Colorectal",95
2022,2,2,"Colorectal",3
2022,2,3,"Colorectal",22
2022,2,5,"Colorectal",14
2022,2,6,"Colorectal",9
2022,2,8,"Colorectal",40
2022,2,9,"Colorectal",35
2022,2,10,"Colorectal",35
2022,2,11,"Colorectal",53
2022,2,12,"Colorectal",68
2022,2,13,"Colorectal",87
2022,2,14,"Colorectal",121
2022,2,15,"Colorectal",96
2022,2,16,"Colorectal",113
2022,2,17,"Colorectal",120
2022,2,18,"Colorectal",177
2005,1,8,"Pancreatic",16
2005,1,9,"Pancreatic",17
2005,1,10,"Pancreatic",3
2005,1,11,"Pancreatic",12
2005,1,12,"Pancreatic",18
2005,1,13,"Pancreatic",33
2005,1,15,"Pancreatic",35
2005,1,16,"Pancreatic",35
2005,1,17,"Pancreatic",21
2005,1,18,"Pancreatic",28
2005,2,5,"Pancreatic",17
2005,2,7,"Pancreatic",3
2005,2,10,"Pancreatic",6
2005,2,11,"Pancreatic",15
2005,2,12,"Pancreatic",7
2005,2,13,"Pancreatic",10
2005,2,14,"Pancreatic",15
2005,2,16,"Pancreatic",10
2005,2,17,"Pancreatic",36
2005,2,18,"Pancreatic",18
2006,1,2,"Pancreatic",14
2006,1,4,"Pancreatic",12
2006,1,6,"Pancreatic",18
2006,1,7,"Pancreatic",6
2006,1,8,"Pancreatic",16
2006,1,9,"Pancreatic",14
2006,1,10,"Pancreatic",13
2006,1,11,"Pancreatic",29
2006,1,12,"Pancreatic",10
2006,1,13,"Pancreatic",19
2006,1,14,"Pancreatic",10
2006,1,15,"Pancreatic",8
2006,1,16,"Pancreatic",22
2006,1,17,"Pancreatic",21
2006,1,18,"Pancreatic",20
2006,2,2,"Pancreatic",14
2006,2,11,"Pancreatic",2
2006,2,13,"Pancreatic",5
2006,2,14,"Pancreatic",4
2006,2,16,"Pancreatic",8
2006,2,17,"Pancreatic",34
2006,2,18,"Pancreatic",32
2007,1,1,"Pancreatic",6
2007,1,2,"Pancreatic",17
2007,1,4,"Pancreatic",6
2007,1,10,"Pancreatic",10
2007,1,11,"Pancreatic",23
2007,1,12,"Pancreatic",7
2007,1,13,"Pancreatic",10
2007,1,14,"Pancreatic",38
2007,1,15,"Pancreatic",18
2007,1,16,"Pancreatic",14
2007,1,17,"Pancreatic",11
2007,1,18,"Pancreatic",7
2007,2,2,"Pancreatic",19
2007,2,3,"Pancreatic",18
2007,2,5,"Pancreatic",15
2007,2,6,"Pancreatic",6
2007,2,7,"Pancreatic",21
2007,2,8,"Pancreatic",18
2007,2,9,"Pancreatic",15
2007,2,10,"Pancreatic",7
2007,2,14,"Pancreatic",25
2007,2,15,"Pancreatic",15
2007,2,16,"Pancreatic",27
2007,2,17,"Pancreatic",30
2007,2,18,"Pancreatic",32
2008,1,1,"Pancreatic",12
2008,1,2,"Pancreatic",11
2008,1,6,"Pancreatic",7
2008,1,8,"Pancreatic",18
2008,1,12,"Pancreatic",16
2008,1,13,"Pancreatic",8
2008,1,14,"Pancreatic",20
2008,1,15,"Pancreatic",29
2008,1,16,"Pancreatic",12
2008,1,18,"Pancreatic",7
2008,2,1,"Pancreatic",9
2008,2,2,"Pancreatic",15
2008,2,3,"Pancreatic",14
2008,2,4,"Pancreatic",18
2008,2,6,"Pancreatic",2
2008,2,7,"Pancreatic",12
2008,2,8,"Pancreatic",5
2008,2,10,"Pancreatic",17
2008,2,11,"Pancreatic",22
2008,2,12,"Pancreatic",10
2008,2,14,"Pancreatic",24
2008,2,15,"Pancreatic",34
2008,2,16,"Pancreatic",36
2008,2,17,"Pancreatic",28
2008,2,18,"Pancreatic",41
2009,1,2,"Pancreatic",13
2009,1,5,"Pancreatic",15
2009,1,6,"Pancreatic",20
2009,1,10,"Pancreatic",3
2009,1,11,"Pancreatic",7
2009,1,12,"Pancreatic",5
2009,1,13,"Pancreatic",11
2009,1,14,"Pancreatic",39
2009,1,15,"Pancreatic",24
2009,1,17,"Pancreatic",34
2009,1,18,"Pancreatic",13
2009,2,3,"Pancreatic",1
2009,2,4,"Pancreatic",2
2009,2,5,"Pancreatic",16
2009,2,6,"Pancreatic",9
2009,2,7,"Pancreatic",3
2009,2,8,"Pancreatic",13
2009,2,9,"Pancreatic",13
2009,2,10,"Pancreatic",23
2009,2,11,"Pancreatic",20
2009,2,12,"Pancreatic",16
2009,2,13,"Pancreatic",27
2009,2,15,"Pancreatic",10
2009,2,16,"Pancreatic",39
2009,2,17,"Pancreatic",9
2009,2,18,"Pancreatic",16
2010,1,3,"Pancreatic",16
2010,1,4,"Pancreatic",7
2010,1,6,"Pancreatic",10
2010,1,7,"Pancreatic",17
2010,1,10,"Pancreatic",5
2010,1,11,"Pancreatic",19
2010,1,12,"Pancreatic",26
2010,1,13,"Pancreatic",13
2010,1,14,"Pancreatic",16
2010,1,15,"Pancreatic",37
2010,1,16,"Pancreatic",29
2010,1,17,"Pancreatic",26
2010,1,18,"Pancreatic",2
2010,2,1,"Pancreatic",4
2010,2,3,"Pancreatic",12
2010,2,4,"Pancreatic",18
2010,2,5,"Pancreatic",14
2010,2,7,"Pancreatic",3
2010,2,8,"Pancreatic",10
2010,2,11,"Pancreatic",16
2010,2,12,"Pancreatic",25
2010,2,14,"Pancreatic",12
2010,2,15,"Pancreatic",2
2010,2,16,"Pancreatic",21
2010,2,17,"Pancreatic",39
2010,2,18,"Pancreatic",37
2011,1,3,"Pancreatic",7
2011,1,5,"Pancreatic",18
2011,1,7,"Pancreatic",17
2011,1,8,"Pancreatic",15
2011,1,12,"Pancreatic",6
2011,1,14,"Pancreatic",21
2011,1,15,"Pancreatic",18
2011,1,16,"Pancreatic",18
2011,1,17,"Pancreatic",19
2011,1,18,"Pancreatic",4
2011,2,1,"Pancreatic",6
2011,2,2,"Pancreatic",3
2011,2,4,"Pancreatic",17
2011,2,6,"Pancreatic",18
2011,2,8,"Pancreatic",5
2011,2,9,"Pancreatic",19
2011,2,10,"Pancreatic",12
2011,2,11,"Pancreatic",22
2011,2,12,"Pancreatic",13
2011,2,13,"Pancreatic",4
2011,2,14,"Pancreatic",21
2011,2,15,"Pancreatic",35
2011,2,16,"Pancreatic",34
2011,2,17,"Pancreatic",29
2011,2,18,"Pancreatic",32
2012,1,1,"Pancreatic",1
2012,1,4,"Pancreatic",17
2012,1,5,"Pancreatic",19
2012,1,7,"Pancreatic",11
2012,1,8,"Pancreatic",7
2012,1,9,"Pancreatic",3
2012,1,11,"Pancreatic",18
2012,1,13,"Pancreatic",40
2012,1,14,"Pancreatic",47
2012,1,15,"Pancreatic",8
2012,1,16,"Pancreatic",22
2012,1,17,"Pancreatic",23
2012,1,18,"Pancreatic",22
2012,2,1,"Pancreatic",11
2012,2,6,"Pancreatic",13
2012,2,8,"Pancreatic",2
2012,2,11,"Pancreatic",20
2012,2,12,"Pancreatic",12
2012,2,13,"Pancreatic",6
2012,2,14,"Pancreatic",34
2012,2,15,"Pancreatic",17
2012,2,16,"Pancreatic",39
2012,2,17,"Pancreatic",35
2012,2,18,"Pancreatic",44
2013,1,1,"Pancreatic",5
2013,1,4,"Pancreatic",4
2013,1,6,"Pancreatic",5
2013,1,8,"Pancreatic",19
2013,1,9,"Pancreatic",20
2013,1,11,"Pancreatic",28
2013,1,12,"Pancreatic",31
2013,1,13,"Pancreatic",12
2013,1,14,"Pancreatic",19
2013,1,15,"Pancreatic",44
2013,1,16,"Pancreatic",29
2013,1,17,"Pancreatic",28
2013,1,18,"Pancreatic",18
2013,2,7,"Pancreatic",16
2013,2,9,"Pancreatic",18
2013,2,13,"Pancreatic",18
2013,2,14,"Pancreatic",28
2013,2,15,"Pancreatic",6
2013,2,16,"Pancreatic",22
2013,2,17,"Pancreatic",39
2013,2,18,"Pancreatic",21
2014,1,1,"Pancreatic",2
2014,1,3,"Pancreatic",12
2014,1,5,"Pancreatic",11
2014,1,8,"Pancreatic",12
2014,1,10,"Pancreatic",10
2014,1,11,"Pancreatic",11
2014,1,12,"Pancreatic",18
2014,1,13,"Pancreatic",47
2014,1,14,"Pancreatic",53
2014,1,15,"Pancreatic",33
2014,1,16,"Pancreatic",25
2014,1,17,"Pancreatic",21
2014,1,18,"Pancreatic",42
2014,2,1,"Pancreatic",1
2014,2,2,"Pancreatic",18
2014,2,4,"Pancreatic",15
2014,2,5,"Pancreatic",15
2014,2,7,"Pancreatic",19
2014,2,10,"Pancreatic",14
2014,2,11,"Pancreatic",4
2014,2,12,"Pancreatic",2
2014,2,14,"Pancreatic",31
2014,2,15,"Pancreatic",14
2014,2,16,"Pancreatic",11
2014,2,17,"Pancreatic",14
2014,2,18,"Pancreatic",23
2015,1,1,"Pancreatic",8
2015,1,3,"Pancreatic",7
2015,1,5,"Pancreatic",18
2015,1,6,"Pancreatic",14
2015,1,8,"Pancreatic",10
2015,1,9,"Pancreatic",15
2015,1,11,"Pancreatic",30
2015,1,12,"Pancreatic",32
2015,1,13,"Pancreatic",27
2015,1,14,"Pancreatic",53
2015,1,15,"Pancreatic",40
2015,1,16,"Pancreatic",45
2015,1,17,"Pancreatic",36
2015,1,18,"Pancreatic",35
2015,2,2,"Pancreatic",10
2015,2,3,"Pancreatic",16
2015,2,4,"Pancreatic",8
2015,2,5,"Pancreatic",18
2015,2,6,"Pancreatic",1
2015,2,7,"Pancreatic",11
2015,2,10,"Pancreatic",23
2015,2,11,"Pancreatic",32
2015,2,12,"Pancreatic",17
2015,2,13,"Pancreatic",14
2015,2,14,"Pancreatic",37
2015,2,15,"Pancreatic",15
2015,2,16,"Pancreatic",13
2015,2,17,"Pancreatic",18
2015,2,18,"Pancreatic",41
2016,1,1,"Pancreatic",13
2016,1,5,"Pancreatic",8
2016,1,6,"Pancreatic",15
2016,1,10,"Pancreatic",9
2016,1,12,"Pancreatic",40
2016,1,13,"Pancreatic",24
2016,1,14,"Pancreatic",46
2016,1,15,"Pancreatic",27
2016,1,16,"Pancreatic",61
2016,1,17,"Pancreatic",41
2016,1,18,"Pancreatic",19
2016,2,1,"Pancreatic",17
2016,2,2,"Pancreatic",1
2016,2,3,"Pancreatic",4
2016,2,4,"Pancreatic",9
2016,2,5,"Pancreatic",12
2016,2,7,"Pancreatic",8
2016,2,8,"Pancreatic",11
2016,2,9,"Pancreatic",13
2016,2,10,"Pancreatic",8
2016,2,11,"Pancreatic",27
2016,2,12,"Pancreatic",13
2016,2,13,"Pancreatic",4
2016,2,14,"Pancreatic",21
2016,2,15,"Pancreatic",20
2016,2,16,"Pancreatic",23
2016,2,17,"Pancreatic",14
2016,2,18,"Pancreatic",48
2017,1,1,"Pancreatic",18
2017,1,7,"Pancreatic",16
2017,1,9,"Pancreatic",19
2017,1,11,"Pancreatic",9
2017,1,12,"Pancreatic",36
2017,1,13,"Pancreatic",44
2017,1,14,"Pancreatic",49
2017,1,15,"Pancreatic",32
2017,1,16,"Pancreatic",54
2017,1,17,"Pancreatic",41
2017,1,18,"Pancreatic",47
2017,2,3,"Pancreatic",1
2017,2,4,"Pancreatic",2
2017,2,5,"Pancreatic",14
2017,2,6,"Pancreatic",5
2017,2,8,"Pancreatic",8
2017,2,9,"Pancreatic",16
2017,2,11,"Pancreatic",18
2017,2,12,"Pancreatic",25
2017,2,13,"Pancreatic",19
2017,2,14,"Pancreatic",40
2017,2,15,"Pancreatic",28
2017,2,16,"Pancreatic",43
2017,2,17,"Pancreatic",35
2017,2,18,"Pancreatic",22
2018,1,1,"Pancreatic",10
2018,1,2,"Pancreatic",4
2018,1,5,"Pancreatic",10
