"age.grp_string","year","sex","cancer.type","suppress","measure","obs"
"0-34",2006,2,"Leukaemia",0,"Counts",30
"0-34",2006,2,"Leukaemia",0,"Rates",5.33459452187376
"0-34",2006,2,"Lung",0,"Counts",24
"0-34",2006,2,"Lung",0,"Rates",4.08033827691674
"0-34",2006,2,"Lymphoma",1,"Counts",NA
"0-34",2006,2,"Lymphoma",1,"Rates",NA
"0-34",2006,2,"Melanoma",0,"Counts",33
"0-34",2006,2,"Melanoma",0,"Rates",5.84446886257941
"0-34",2006,2,"Pancreatic",0,"Counts",48
"0-34",2006,2,"Pancreatic",0,"Rates",8.43410071956192
"0-34",2006,2,"Prostate",1,"Counts",NA
"0-34",2006,2,"Prostate",1,"Rates",NA
"0-34",2006,3,"All cancers",0,"Counts",101
"0-34",2006,3,"All cancers",0,"Rates",8.90481317215644
"0-34",2006,3,"Breast(female)",1,"Counts",NA
"0-34",2006,3,"Breast(female)",1,"Rates",NA
"0-34",2006,3,"Colorectal",0,"Counts",48
"0-34",2006,3,"Colorectal",0,"Rates",4.06256482702504
"0-34",2006,3,"Leukaemia",0,"Counts",86
"0-34",2006,3,"Leukaemia",0,"Rates",7.41975967716245
"0-34",2006,3,"Lung",0,"Counts",57
"0-34",2006,3,"Lung",0,"Rates",4.72300340071879
"0-34",2006,3,"Lymphoma",0,"Counts",46
"0-34",2006,3,"Lymphoma",0,"Rates",3.97890956737779
"0-34",2006,3,"Melanoma",0,"Counts",74
"0-34",2006,3,"Melanoma",0,"Rates",6.51138883063805
"0-34",2006,3,"Pancreatic",0,"Counts",71
"0-34",2006,3,"Pancreatic",0,"Rates",6.18618102241538
"0-34",2006,3,"Prostate",1,"Counts",NA
"0-34",2006,3,"Prostate",1,"Rates",NA
"0-34",2007,1,"All cancers",0,"Counts",51
"0-34",2007,1,"All cancers",0,"Rates",8.41047768607716
"0-34",2007,1,"Breast(female)",1,"Counts",NA
"0-34",2007,1,"Breast(female)",1,"Rates",NA
"0-34",2007,1,"Colorectal",0,"Counts",23
"0-34",2007,1,"Colorectal",0,"Rates",3.82790268557141
"0-34",2007,1,"Leukaemia",0,"Counts",33
"0-34",2007,1,"Leukaemia",0,"Rates",5.51637694683746
"0-34",2007,1,"Lung",0,"Counts",13
"0-34",2007,1,"Lung",0,"Rates",2.31077313478142
"0-34",2007,1,"Lymphoma",0,"Counts",23
"0-34",2007,1,"Lymphoma",0,"Rates",3.79428176061778
"0-34",2007,1,"Melanoma",0,"Counts",22
"0-34",2007,1,"Melanoma",0,"Rates",3.50222289846307
"0-34",2007,1,"Pancreatic",0,"Counts",7
"0-34",2007,1,"Pancreatic",0,"Rates",1.07346513266456
"0-34",2007,1,"Prostate",0,"Counts",21
"0-34",2007,1,"Prostate",0,"Rates",3.65012652505193
"0-34",2007,2,"All cancers",0,"Counts",68
"0-34",2007,2,"All cancers",0,"Rates",11.9498596176767
"0-34",2007,2,"Breast(female)",0,"Counts",47
"0-34",2007,2,"Breast(female)",0,"Rates",8.03846701974247
"0-34",2007,2,"Colorectal",0,"Counts",33
"0-34",2007,2,"Colorectal",0,"Rates",5.69645676382044
"0-34",2007,2,"Leukaemia",0,"Counts",29
"0-34",2007,2,"Leukaemia",0,"Rates",4.8767011209384
"0-34",2007,2,"Lung",0,"Counts",37
"0-34",2007,2,"Lung",0,"Rates",6.51189096796816
"0-34",2007,2,"Lymphoma",0,"Counts",12
"0-34",2007,2,"Lymphoma",0,"Rates",2.05589908316851
"0-34",2007,2,"Melanoma",0,"Counts",49
"0-34",2007,2,"Melanoma",0,"Rates",8.17894063710457
"0-34",2007,2,"Pancreatic",0,"Counts",33
"0-34",2007,2,"Pancreatic",0,"Rates",5.72595534950259
"0-34",2007,2,"Prostate",1,"Counts",NA
"0-34",2007,2,"Prostate",1,"Rates",NA
"0-34",2007,3,"All cancers",0,"Counts",119
"0-34",2007,3,"All cancers",0,"Rates",10.1902082038712
"0-34",2007,3,"Breast(female)",1,"Counts",NA
"0-34",2007,3,"Breast(female)",1,"Rates",NA
"0-34",2007,3,"Colorectal",0,"Counts",56
"0-34",2007,3,"Colorectal",0,"Rates",4.74430394835615
"0-34",2007,3,"Leukaemia",0,"Counts",62
"0-34",2007,3,"Leukaemia",0,"Rates",5.18785491370471
"0-34",2007,3,"Lung",0,"Counts",50
"0-34",2007,3,"Lung",0,"Rates",4.34917644409582
"0-34",2007,3,"Lymphoma",0,"Counts",35
"0-34",2007,3,"Lymphoma",0,"Rates",2.95816129392723
"0-34",2007,3,"Melanoma",0,"Counts",71
"0-34",2007,3,"Melanoma",0,"Rates",5.80077710703648
"0-34",2007,3,"Pancreatic",0,"Counts",40
"0-34",2007,3,"Pancreatic",0,"Rates",3.33747801503285
"0-34",2007,3,"Prostate",1,"Counts",NA
"0-34",2007,3,"Prostate",1,"Rates",NA
"0-34",2008,1,"All cancers",0,"Counts",22
"0-34",2008,1,"All cancers",0,"Rates",3.4297591306184
"0-34",2008,1,"Breast(female)",1,"Counts",NA
"0-34",2008,1,"Breast(female)",1,"Rates",NA
"0-34",2008,1,"Colorectal",0,"Counts",52
"0-34",2008,1,"Colorectal",0,"Rates",8.05385150160327
"0-34",2008,1,"Leukaemia",0,"Counts",22
"0-34",2008,1,"Leukaemia",0,"Rates",3.63580140489205
"0-34",2008,1,"Lung",0,"Counts",35
"0-34",2008,1,"Lung",0,"Rates",5.86422636792857
"0-34",2008,1,"Lymphoma",0,"Counts",36
"0-34",2008,1,"Lymphoma",0,"Rates",5.79582562438179
"0-34",2008,1,"Melanoma",0,"Counts",31
"0-34",2008,1,"Melanoma",0,"Rates",4.9884046314136
"0-34",2008,1,"Pancreatic",0,"Counts",31
"0-34",2008,1,"Pancreatic",0,"Rates",4.93883161055783
"0-34",2008,1,"Prostate",0,"Counts",26
"0-34",2008,1,"Prostate",0,"Rates",4.3803521527007
"0-34",2008,2,"All cancers",0,"Counts",55
"0-34",2008,2,"All cancers",0,"Rates",9.47687781541992
"0-34",2008,2,"Breast(female)",0,"Counts",17
"0-34",2008,2,"Breast(female)",0,"Rates",2.94512475225872
"0-34",2008,2,"Colorectal",0,"Counts",49
"0-34",2008,2,"Colorectal",0,"Rates",7.92610743298487
"0-34",2008,2,"Leukaemia",0,"Counts",47
"0-34",2008,2,"Leukaemia",0,"Rates",7.99086131914877
"0-34",2008,2,"Lung",0,"Counts",44
"0-34",2008,2,"Lung",0,"Rates",7.40359364076928
"0-34",2008,2,"Lymphoma",0,"Counts",31
"0-34",2008,2,"Lymphoma",0,"Rates",5.11595835939823
"0-34",2008,2,"Melanoma",0,"Counts",36
"0-34",2008,2,"Melanoma",0,"Rates",5.88846452856852
"0-34",2008,2,"Pancreatic",0,"Counts",28
"0-34",2008,2,"Pancreatic",0,"Rates",4.8023414184384
"0-34",2008,2,"Prostate",1,"Counts",NA
"0-34",2008,2,"Prostate",1,"Rates",NA
"0-34",2008,3,"All cancers",0,"Counts",77
"0-34",2008,3,"All cancers",0,"Rates",6.40150748194153
"0-34",2008,3,"Breast(female)",1,"Counts",NA
"0-34",2008,3,"Breast(female)",1,"Rates",NA
"0-34",2008,3,"Colorectal",0,"Counts",101
"0-34",2008,3,"Colorectal",0,"Rates",7.98583710441218
"0-34",2008,3,"Leukaemia",0,"Counts",69
"0-34",2008,3,"Leukaemia",0,"Rates",5.77869437732597
"0-34",2008,3,"Lung",0,"Counts",79
"0-34",2008,3,"Lung",0,"Rates",6.62518721176326
"0-34",2008,3,"Lymphoma",0,"Counts",67
"0-34",2008,3,"Lymphoma",0,"Rates",5.46134559018119
"0-34",2008,3,"Melanoma",0,"Counts",67
"0-34",2008,3,"Melanoma",0,"Rates",5.43906650212679
"0-34",2008,3,"Pancreatic",0,"Counts",59
"0-34",2008,3,"Pancreatic",0,"Rates",4.86324170856434
"0-34",2008,3,"Prostate",1,"Counts",NA
"0-34",2008,3,"Prostate",1,"Rates",NA
"0-34",2009,1,"All cancers",0,"Counts",60
"0-34",2009,1,"All cancers",0,"Rates",9.74090009520803
"0-34",2009,1,"Breast(female)",1,"Counts",NA
"0-34",2009,1,"Breast(female)",1,"Rates",NA
"0-34",2009,1,"Colorectal",0,"Counts",33
"0-34",2009,1,"Colorectal",0,"Rates",5.35788875606852
"0-34",2009,1,"Leukaemia",0,"Counts",48
"0-34",2009,1,"Leukaemia",0,"Rates",7.66535844054142
"0-34",2009,1,"Lung",0,"Counts",67
"0-34",2009,1,"Lung",0,"Rates",10.6379512910963
"0-34",2009,1,"Lymphoma",0,"Counts",54
"0-34",2009,1,"Lymphoma",0,"Rates",8.18485867870598
"0-34",2009,1,"Melanoma",0,"Counts",24
"0-34",2009,1,"Melanoma",0,"Rates",3.81883924410311
"0-34",2009,1,"Pancreatic",0,"Counts",11
"0-34",2009,1,"Pancreatic",0,"Rates",1.57350339999629
"0-34",2009,1,"Prostate",0,"Counts",36
"0-34",2009,1,"Prostate",0,"Rates",5.70357539469331
"0-34",2009,2,"All cancers",0,"Counts",42
"0-34",2009,2,"All cancers",0,"Rates",6.63217568395946
"0-34",2009,2,"Breast(female)",0,"Counts",32
"0-34",2009,2,"Breast(female)",0,"Rates",5.02427498324319
"0-34",2009,2,"Colorectal",0,"Counts",24
"0-34",2009,2,"Colorectal",0,"Rates",3.87610279609221
"0-34",2009,2,"Leukaemia",0,"Counts",25
"0-34",2009,2,"Leukaemia",0,"Rates",4.1656172126828
"0-34",2009,2,"Lung",0,"Counts",36
"0-34",2009,2,"Lung",0,"Rates",5.85550301298696
"0-34",2009,2,"Lymphoma",0,"Counts",17
"0-34",2009,2,"Lymphoma",0,"Rates",2.98593916447606
"0-34",2009,2,"Melanoma",0,"Counts",27
"0-34",2009,2,"Melanoma",0,"Rates",4.37265459980376
"0-34",2009,2,"Pancreatic",0,"Counts",48
"0-34",2009,2,"Pancreatic",0,"Rates",7.83724691562388
"0-34",2009,2,"Prostate",1,"Counts",NA
"0-34",2009,2,"Prostate",1,"Rates",NA
"0-34",2009,3,"All cancers",0,"Counts",102
"0-34",2009,3,"All cancers",0,"Rates",8.16447032387489
"0-34",2009,3,"Breast(female)",1,"Counts",NA
"0-34",2009,3,"Breast(female)",1,"Rates",NA
"0-34",2009,3,"Colorectal",0,"Counts",57
"0-34",2009,3,"Colorectal",0,"Rates",4.58142096743418
"0-34",2009,3,"Leukaemia",0,"Counts",73
"0-34",2009,3,"Leukaemia",0,"Rates",5.9153525570341
"0-34",2009,3,"Lung",0,"Counts",103
"0-34",2009,3,"Lung",0,"Rates",8.27132026638171
"0-34",2009,3,"Lymphoma",0,"Counts",71
"0-34",2009,3,"Lymphoma",0,"Rates",5.69282304167973
"0-34",2009,3,"Melanoma",0,"Counts",51
"0-34",2009,3,"Melanoma",0,"Rates",4.08634096832566
"0-34",2009,3,"Pancreatic",0,"Counts",59
"0-34",2009,3,"Pancreatic",0,"Rates",4.63856853126482
"0-34",2009,3,"Prostate",1,"Counts",NA
"0-34",2009,3,"Prostate",1,"Rates",NA
"0-34",2010,1,"All cancers",0,"Counts",38
"0-34",2010,1,"All cancers",0,"Rates",5.8770951584684
"0-34",2010,1,"Breast(female)",1,"Counts",NA
"0-34",2010,1,"Breast(female)",1,"Rates",NA
"0-34",2010,1,"Colorectal",0,"Counts",37
"0-34",2010,1,"Colorectal",0,"Rates",5.75578753103264
"0-34",2010,1,"Leukaemia",0,"Counts",51
"0-34",2010,1,"Leukaemia",0,"Rates",7.70830557678903
"0-34",2010,1,"Lung",0,"Counts",34
"0-34",2010,1,"Lung",0,"Rates",5.51291505852043
"0-34",2010,1,"Lymphoma",0,"Counts",35
"0-34",2010,1,"Lymphoma",0,"Rates",5.18854764619596
"0-34",2010,1,"Melanoma",0,"Counts",21
"0-34",2010,1,"Melanoma",0,"Rates",3.0449823479949
"0-34",2010,1,"Pancreatic",0,"Counts",23
"0-34",2010,1,"Pancreatic",0,"Rates",3.75479017522866
"0-34",2010,1,"Prostate",0,"Counts",23
"0-34",2010,1,"Prostate",0,"Rates",3.60737795051501
"0-34",2010,2,"All cancers",0,"Counts",48
"0-34",2010,2,"All cancers",0,"Rates",7.65403802252919
"0-34",2010,2,"Breast(female)",1,"Counts",NA
"0-34",2010,2,"Breast(female)",1,"Rates",NA
"0-34",2010,2,"Colorectal",0,"Counts",68
"0-34",2010,2,"Colorectal",0,"Rates",10.8789945151448
"0-34",2010,2,"Leukaemia",0,"Counts",15
"0-34",2010,2,"Leukaemia",0,"Rates",2.54302205519234
"0-34",2010,2,"Lung",0,"Counts",82
"0-34",2010,2,"Lung",0,"Rates",13.370115752471
"0-34",2010,2,"Lymphoma",0,"Counts",30
"0-34",2010,2,"Lymphoma",0,"Rates",4.84181141035273
"0-34",2010,2,"Melanoma",0,"Counts",14
"0-34",2010,2,"Melanoma",0,"Rates",2.21738622291625
"0-34",2010,2,"Pancreatic",0,"Counts",16
"0-34",2010,2,"Pancreatic",0,"Rates",2.6870428161476
"0-34",2010,2,"Prostate",1,"Counts",NA
"0-34",2010,2,"Prostate",1,"Rates",NA
"0-34",2010,3,"All cancers",0,"Counts",86
"0-34",2010,3,"All cancers",0,"Rates",6.73243019481278
"0-34",2010,3,"Breast(female)",1,"Counts",NA
"0-34",2010,3,"Breast(female)",1,"Rates",NA
"0-34",2010,3,"Colorectal",0,"Counts",105
"0-34",2010,3,"Colorectal",0,"Rates",8.25449799726992
"0-34",2010,3,"Leukaemia",0,"Counts",66
"0-34",2010,3,"Leukaemia",0,"Rates",5.20382412326406
"0-34",2010,3,"Lung",0,"Counts",116
"0-34",2010,3,"Lung",0,"Rates",9.33999180248714
"0-34",2010,3,"Lymphoma",0,"Counts",65
"0-34",2010,3,"Lymphoma",0,"Rates",5.03652351587984
"0-34",2010,3,"Melanoma",0,"Counts",35
"0-34",2010,3,"Melanoma",0,"Rates",2.65401028549505
"0-34",2010,3,"Pancreatic",0,"Counts",39
"0-34",2010,3,"Pancreatic",0,"Rates",3.206291705294
"0-34",2010,3,"Prostate",1,"Counts",NA
"0-34",2010,3,"Prostate",1,"Rates",NA
"0-34",2011,1,"All cancers",0,"Counts",33
"0-34",2011,1,"All cancers",0,"Rates",5.02887590009922
"0-34",2011,1,"Breast(female)",1,"Counts",NA
"0-34",2011,1,"Breast(female)",1,"Rates",NA
"0-34",2011,1,"Colorectal",0,"Counts",49
"0-34",2011,1,"Colorectal",0,"Rates",7.78589731063152
"0-34",2011,1,"Leukaemia",0,"Counts",46
"0-34",2011,1,"Leukaemia",0,"Rates",7.2717524483266
"0-34",2011,1,"Lung",0,"Counts",19
"0-34",2011,1,"Lung",0,"Rates",2.90568289382427
"0-34",2011,1,"Lymphoma",0,"Counts",20
"0-34",2011,1,"Lymphoma",0,"Rates",3.03769706191425
"0-34",2011,1,"Melanoma",0,"Counts",51
"0-34",2011,1,"Melanoma",0,"Rates",7.9536965778613
"0-34",2011,1,"Pancreatic",0,"Counts",55
"0-34",2011,1,"Pancreatic",0,"Rates",8.33573878896646
"0-34",2011,1,"Prostate",0,"Counts",17
"0-34",2011,1,"Prostate",0,"Rates",2.61434200023706
"0-34",2011,2,"All cancers",0,"Counts",66
"0-34",2011,2,"All cancers",0,"Rates",10.3632504806649
"0-34",2011,2,"Breast(female)",0,"Counts",42
"0-34",2011,2,"Breast(female)",0,"Rates",6.91840732769778
"0-34",2011,2,"Colorectal",0,"Counts",14
"0-34",2011,2,"Colorectal",0,"Rates",2.22171553746415
"0-34",2011,2,"Leukaemia",0,"Counts",5
"0-34",2011,2,"Leukaemia",0,"Rates",0.85314214332595
"0-34",2011,2,"Lung",0,"Counts",15
"0-34",2011,2,"Lung",0,"Rates",2.40401187292534
"0-34",2011,2,"Lymphoma",0,"Counts",31
"0-34",2011,2,"Lymphoma",0,"Rates",4.98012851499601
"0-34",2011,2,"Melanoma",0,"Counts",48
"0-34",2011,2,"Melanoma",0,"Rates",7.78137170880566
"0-34",2011,2,"Pancreatic",0,"Counts",28
"0-34",2011,2,"Pancreatic",0,"Rates",4.53020785232109
"0-34",2011,2,"Prostate",1,"Counts",NA
"0-34",2011,2,"Prostate",1,"Rates",NA
"0-34",2011,3,"All cancers",0,"Counts",99
"0-34",2011,3,"All cancers",0,"Rates",7.64531452568137
"0-34",2011,3,"Breast(female)",1,"Counts",NA
"0-34",2011,3,"Breast(female)",1,"Rates",NA
"0-34",2011,3,"Colorectal",0,"Counts",63
"0-34",2011,3,"Colorectal",0,"Rates",5.04131175525748
"0-34",2011,3,"Leukaemia",0,"Counts",51
"0-34",2011,3,"Leukaemia",0,"Rates",4.11759680053111
"0-34",2011,3,"Lung",0,"Counts",34
"0-34",2011,3,"Lung",0,"Rates",2.66407452071001
"0-34",2011,3,"Lymphoma",0,"Counts",51
"0-34",2011,3,"Lymphoma",0,"Rates",3.97710070919381
"0-34",2011,3,"Melanoma",0,"Counts",99
"0-34",2011,3,"Melanoma",0,"Rates",7.86873538277193
"0-34",2011,3,"Pancreatic",0,"Counts",83
"0-34",2011,3,"Pancreatic",0,"Rates",6.46194123595066
"0-34",2011,3,"Prostate",1,"Counts",NA
"0-34",2011,3,"Prostate",1,"Rates",NA
"0-34",2012,1,"All cancers",0,"Counts",81
"0-34",2012,1,"All cancers",0,"Rates",12.1419048785792
"0-34",2012,1,"Breast(female)",1,"Counts",NA
"0-34",2012,1,"Breast(female)",1,"Rates",NA
"0-34",2012,1,"Colorectal",0,"Counts",22
"0-34",2012,1,"Colorectal",0,"Rates",3.26908217403882
"0-34",2012,1,"Leukaemia",0,"Counts",58
"0-34",2012,1,"Leukaemia",0,"Rates",8.79318169327602
"0-34",2012,1,"Lung",0,"Counts",29
"0-34",2012,1,"Lung",0,"Rates",4.20847796740453
"0-34",2012,1,"Lymphoma",0,"Counts",43
"0-34",2012,1,"Lymphoma",0,"Rates",6.54365183013184
"0-34",2012,1,"Melanoma",0,"Counts",43
"0-34",2012,1,"Melanoma",0,"Rates",6.49850509608023
"0-34",2012,1,"Pancreatic",0,"Counts",25
"0-34",2012,1,"Pancreatic",0,"Rates",3.75165803708381
"0-34",2012,1,"Prostate",0,"Counts",44
"0-34",2012,1,"Prostate",0,"Rates",6.58440292240399
"0-34",2012,2,"All cancers",0,"Counts",75
"0-34",2012,2,"All cancers",0,"Rates",11.8142889559351
"0-34",2012,2,"Breast(female)",0,"Counts",55
"0-34",2012,2,"Breast(female)",0,"Rates",8.64214087460996
"0-34",2012,2,"Colorectal",0,"Counts",19
"0-34",2012,2,"Colorectal",0,"Rates",2.775354380271
"0-34",2012,2,"Leukaemia",0,"Counts",65
"0-34",2012,2,"Leukaemia",0,"Rates",9.95777753375174
"0-34",2012,2,"Lung",0,"Counts",42
"0-34",2012,2,"Lung",0,"Rates",6.60688065854673
"0-34",2012,2,"Lymphoma",0,"Counts",43
"0-34",2012,2,"Lymphoma",0,"Rates",6.42267325856737
"0-34",2012,2,"Melanoma",0,"Counts",34
"0-34",2012,2,"Melanoma",0,"Rates",5.37563583451563
"0-34",2012,2,"Pancreatic",0,"Counts",33
"0-34",2012,2,"Pancreatic",0,"Rates",5.19355146788739
"0-34",2012,2,"Prostate",1,"Counts",NA
"0-34",2012,2,"Prostate",1,"Rates",NA
"0-34",2012,3,"All cancers",0,"Counts",156
"0-34",2012,3,"All cancers",0,"Rates",11.9868883786886
"0-34",2012,3,"Breast(female)",1,"Counts",NA
"0-34",2012,3,"Breast(female)",1,"Rates",NA
"0-34",2012,3,"Colorectal",0,"Counts",41
"0-34",2012,3,"Colorectal",0,"Rates",3.02496547859408
"0-34",2012,3,"Leukaemia",0,"Counts",123
"0-34",2012,3,"Leukaemia",0,"Rates",9.32767526424422
"0-34",2012,3,"Lung",0,"Counts",71
"0-34",2012,3,"Lung",0,"Rates",5.40107504275398
"0-34",2012,3,"Lymphoma",0,"Counts",86
"0-34",2012,3,"Lymphoma",0,"Rates",6.49493935856755
"0-34",2012,3,"Melanoma",0,"Counts",77
"0-34",2012,3,"Melanoma",0,"Rates",5.92592054645927
"0-34",2012,3,"Pancreatic",0,"Counts",58
"0-34",2012,3,"Pancreatic",0,"Rates",4.43047135512301
"0-34",2012,3,"Prostate",1,"Counts",NA
"0-34",2012,3,"Prostate",1,"Rates",NA
"0-34",2013,1,"All cancers",0,"Counts",95
"0-34",2013,1,"All cancers",0,"Rates",13.9390976333129
"0-34",2013,1,"Breast(female)",1,"Counts",NA
"0-34",2013,1,"Breast(female)",1,"Rates",NA
"0-34",2013,1,"Colorectal",0,"Counts",59
"0-34",2013,1,"Colorectal",0,"Rates",8.55880674645773
"0-34",2013,1,"Leukaemia",1,"Counts",NA
"0-34",2013,1,"Leukaemia",1,"Rates",NA
"0-34",2013,1,"Lung",0,"Counts",16
"0-34",2013,1,"Lung",0,"Rates",2.41466169134136
"0-34",2013,1,"Lymphoma",0,"Counts",6
"0-34",2013,1,"Lymphoma",0,"Rates",0.926926231364536
"0-34",2013,1,"Melanoma",0,"Counts",14
"0-34",2013,1,"Melanoma",0,"Rates",1.92973119280163
"0-34",2013,1,"Pancreatic",0,"Counts",43
"0-34",2013,1,"Pancreatic",0,"Rates",6.25619672292738
"0-34",2013,1,"Prostate",0,"Counts",15
"0-34",2013,1,"Prostate",0,"Rates",2.25835130933653
"0-34",2013,2,"All cancers",0,"Counts",26
"0-34",2013,2,"All cancers",0,"Rates",4.20084666556646
"0-34",2013,2,"Breast(female)",0,"Counts",42
"0-34",2013,2,"Breast(female)",0,"Rates",6.24135829397243
"0-34",2013,2,"Colorectal",0,"Counts",64
"0-34",2013,2,"Colorectal",0,"Rates",9.97516417216251
"0-34",2013,2,"Leukaemia",0,"Counts",29
"0-34",2013,2,"Leukaemia",0,"Rates",4.50956164306849
"0-34",2013,2,"Lung",0,"Counts",17
"0-34",2013,2,"Lung",0,"Rates",2.71759939805364
"0-34",2013,2,"Lymphoma",0,"Counts",34
"0-34",2013,2,"Lymphoma",0,"Rates",5.18030185872382
"0-34",2013,2,"Melanoma",0,"Counts",36
"0-34",2013,2,"Melanoma",0,"Rates",5.49859859242606
"0-34",2013,2,"Pancreatic",0,"Counts",35
"0-34",2013,2,"Pancreatic",0,"Rates",5.16070678899236
"0-34",2013,2,"Prostate",1,"Counts",NA
"0-34",2013,2,"Prostate",1,"Rates",NA
"0-34",2013,3,"All cancers",0,"Counts",121
"0-34",2013,3,"All cancers",0,"Rates",9.12879467297268
"0-34",2013,3,"Breast(female)",1,"Counts",NA
"0-34",2013,3,"Breast(female)",1,"Rates",NA
"0-34",2013,3,"Colorectal",0,"Counts",123
"0-34",2013,3,"Colorectal",0,"Rates",9.276716332052
"0-34",2013,3,"Leukaemia",0,"Counts",31
"0-34",2013,3,"Leukaemia",0,"Rates",2.34902061153531
"0-34",2013,3,"Lung",0,"Counts",33
"0-34",2013,3,"Lung",0,"Rates",2.55948349903349
"0-34",2013,3,"Lymphoma",0,"Counts",40
"0-34",2013,3,"Lymphoma",0,"Rates",3.050035476774
"0-34",2013,3,"Melanoma",0,"Counts",50
"0-34",2013,3,"Melanoma",0,"Rates",3.67317980151592
"0-34",2013,3,"Pancreatic",0,"Counts",78
"0-34",2013,3,"Pancreatic",0,"Rates",5.74221085231451
"0-34",2013,3,"Prostate",1,"Counts",NA
"0-34",2013,3,"Prostate",1,"Rates",NA
