"year","sex","ragegrp","count","Cancer.Type"
1991,"Female",13,154,"Oesophageal cancer"
1995,"Female",15,185,"Oesophageal cancer"
2017,"Male",12,413,"Oesophageal cancer"
2011,"Female",18,349,"Oesophageal cancer"
1991,"Female",14,148,"Oesophageal cancer"
1996,"Female",14,192,"Oesophageal cancer"
2017,"Male",13,396,"Oesophageal cancer"
2013,"Male",15,373,"Oesophageal cancer"
1994,"Female",9,174,"Oesophageal cancer"
1988,"Female",18,113,"Oesophageal cancer"
2017,"Male",14,412,"Oesophageal cancer"
2001,"Male",15,252,"Oesophageal cancer"
2000,"Female",18,239,"Oesophageal cancer"
1993,"Male",12,162,"Oesophageal cancer"
2017,"Male",15,406,"Oesophageal cancer"
2001,"Male",16,237,"Oesophageal cancer"
1987,"Female",10,112,"Oesophageal cancer"
1993,"Male",13,172,"Oesophageal cancer"
2017,"Male",16,415,"Oesophageal cancer"
2001,"Male",17,238,"Oesophageal cancer"
2013,"Male",18,362,"Oesophageal cancer"
1993,"Male",14,161,"Oesophageal cancer"
1989,"Male",10,116,"Oesophageal cancer"
2001,"Male",18,243,"Oesophageal cancer"
2008,"Male",11,306,"Oesophageal cancer"
2005,"Female",10,280,"Oesophageal cancer"
1987,"Female",13,101,"Oesophageal cancer"
1989,"Male",11,115,"Oesophageal cancer"
1993,"Male",16,163,"Oesophageal cancer"
1989,"Male",12,124,"Oesophageal cancer"
1987,"Female",14,111,"Oesophageal cancer"
2000,"Male",14,229,"Oesophageal cancer"
1993,"Male",17,163,"Oesophageal cancer"
2005,"Female",12,283,"Oesophageal cancer"
2014,"Female",18,381,"Oesophageal cancer"
2000,"Male",15,240,"Oesophageal cancer"
1989,"Male",14,133,"Oesophageal cancer"
2005,"Female",13,292,"Oesophageal cancer"
1992,"Male",11,151,"Oesophageal cancer"
2000,"Male",16,231,"Oesophageal cancer"
2003,"Male",9,264,"Oesophageal cancer"
2005,"Female",14,293,"Oesophageal cancer"
1987,"Female",17,107,"Oesophageal cancer"
2000,"Male",17,234,"Oesophageal cancer"
1987,"Female",18,108,"Oesophageal cancer"
2005,"Female",15,295,"Oesophageal cancer"
2017,"Female",12,412,"Oesophageal cancer"
2000,"Male",18,226,"Oesophageal cancer"
1983,"Female",11,67,"Oesophageal cancer"
2005,"Female",16,291,"Oesophageal cancer"
2013,"Female",14,375,"Oesophageal cancer"
1993,"Female",11,163,"Oesophageal cancer"
1985,"Male",12,80,"Oesophageal cancer"
2005,"Female",17,276,"Oesophageal cancer"
2013,"Female",15,361,"Oesophageal cancer"
2016,"Male",18,385,"Oesophageal cancer"
1985,"Male",13,75,"Oesophageal cancer"
2005,"Female",18,293,"Oesophageal cancer"
2013,"Female",16,374,"Oesophageal cancer"
2015,"Male",12,388,"Oesophageal cancer"
1993,"Female",14,170,"Oesophageal cancer"
2001,"Female",17,241,"Oesophageal cancer"
2013,"Female",17,361,"Oesophageal cancer"
2015,"Male",13,393,"Oesophageal cancer"
1992,"Male",17,161,"Oesophageal cancer"
2001,"Female",18,244,"Oesophageal cancer"
2013,"Female",18,365,"Oesophageal cancer"
2012,"Female",11,357,"Oesophageal cancer"
1993,"Female",16,156,"Oesophageal cancer"
2006,"Male",9,302,"Oesophageal cancer"
1986,"Female",16,96,"Oesophageal cancer"
1983,"Female",18,65,"Oesophageal cancer"
1993,"Female",17,174,"Oesophageal cancer"
1995,"Male",14,185,"Oesophageal cancer"
1989,"Female",14,132,"Oesophageal cancer"
2004,"Female",15,281,"Oesophageal cancer"
2016,"Female",12,400,"Oesophageal cancer"
2006,"Male",11,301,"Oesophageal cancer"
2018,"Male",8,415,"Oesophageal cancer"
2004,"Female",16,265,"Oesophageal cancer"
2016,"Female",13,402,"Oesophageal cancer"
1992,"Female",9,163,"Oesophageal cancer"
2002,"Male",11,262,"Oesophageal cancer"
1996,"Female",13,205,"Oesophageal cancer"
1985,"Female",9,92,"Oesophageal cancer"
2000,"Female",16,233,"Oesophageal cancer"
1984,"Male",11,75,"Oesophageal cancer"
1998,"Male",11,215,"Oesophageal cancer"
1989,"Female",18,135,"Oesophageal cancer"
2018,"Male",11,421,"Oesophageal cancer"
2002,"Male",13,249,"Oesophageal cancer"
1998,"Male",12,209,"Oesophageal cancer"
2016,"Female",16,405,"Oesophageal cancer"
2014,"Male",13,373,"Oesophageal cancer"
2002,"Male",14,256,"Oesophageal cancer"
1998,"Male",13,212,"Oesophageal cancer"
2016,"Female",17,388,"Oesophageal cancer"
2014,"Male",14,384,"Oesophageal cancer"
2002,"Male",15,245,"Oesophageal cancer"
1990,"Male",9,131,"Oesophageal cancer"
2016,"Female",18,400,"Oesophageal cancer"
2014,"Male",15,366,"Oesophageal cancer"
2006,"Male",17,290,"Oesophageal cancer"
1990,"Male",10,134,"Oesophageal cancer"
2001,"Male",8,251,"Oesophageal cancer"
2014,"Male",16,376,"Oesophageal cancer"
2006,"Male",18,287,"Oesophageal cancer"
1990,"Male",11,127,"Oesophageal cancer"
2017,"Male",8,400,"Oesophageal cancer"
2018,"Male",16,416,"Oesophageal cancer"
2002,"Male",18,264,"Oesophageal cancer"
2017,"Male",9,415,"Oesophageal cancer"
2001,"Male",10,248,"Oesophageal cancer"
2018,"Male",17,410,"Oesophageal cancer"
1995,"Female",13,177,"Oesophageal cancer"
2017,"Male",10,415,"Oesophageal cancer"
2006,"Female",9,304,"Oesophageal cancer"
2018,"Male",18,423,"Oesophageal cancer"
1995,"Female",14,190,"Oesophageal cancer"
1999,"Female",18,227,"Oesophageal cancer"
2001,"Male",12,247,"Oesophageal cancer"
2005,"Male",15,280,"Oesophageal cancer"
1993,"Male",9,160,"Oesophageal cancer"
1990,"Male",15,132,"Oesophageal cancer"
2001,"Male",13,247,"Oesophageal cancer"
2005,"Male",16,276,"Oesophageal cancer"
2004,"Male",8,269,"Oesophageal cancer"
2002,"Female",12,253,"Oesophageal cancer"
2001,"Male",14,249,"Oesophageal cancer"
2005,"Male",17,275,"Oesophageal cancer"
1990,"Male",17,140,"Oesophageal cancer"
2018,"Female",11,407,"Oesophageal cancer"
2006,"Female",13,300,"Oesophageal cancer"
2005,"Male",18,285,"Oesophageal cancer"
1990,"Male",18,140,"Oesophageal cancer"
2002,"Female",14,254,"Oesophageal cancer"
2006,"Female",14,292,"Oesophageal cancer"
2013,"Male",17,370,"Oesophageal cancer"
2018,"Female",13,413,"Oesophageal cancer"
2002,"Female",15,257,"Oesophageal cancer"
2006,"Female",15,293,"Oesophageal cancer"
1994,"Female",12,166,"Oesophageal cancer"
2018,"Female",14,414,"Oesophageal cancer"
2002,"Female",16,252,"Oesophageal cancer"
2006,"Female",16,288,"Oesophageal cancer"
1994,"Female",13,185,"Oesophageal cancer"
2018,"Female",15,420,"Oesophageal cancer"
2002,"Female",17,265,"Oesophageal cancer"
2006,"Female",17,304,"Oesophageal cancer"
1994,"Female",14,185,"Oesophageal cancer"
2018,"Female",16,417,"Oesophageal cancer"
2002,"Female",18,250,"Oesophageal cancer"
2006,"Female",18,294,"Oesophageal cancer"
1990,"Female",12,142,"Oesophageal cancer"
2018,"Female",17,410,"Oesophageal cancer"
1987,"Female",15,101,"Oesophageal cancer"
2007,"Male",5,311,"Oesophageal cancer"
1990,"Female",13,128,"Oesophageal cancer"
2018,"Female",18,421,"Oesophageal cancer"
2013,"Female",11,363,"Oesophageal cancer"
1986,"Male",18,90,"Oesophageal cancer"
1990,"Female",14,141,"Oesophageal cancer"
2019,"Male",6,416,"Oesophageal cancer"
2013,"Female",12,365,"Oesophageal cancer"
1999,"Male",8,234,"Oesophageal cancer"
2007,"Male",9,307,"Oesophageal cancer"
1994,"Female",18,180,"Oesophageal cancer"
1982,"Male",10,60,"Oesophageal cancer"
2007,"Male",10,303,"Oesophageal cancer"
2019,"Male",9,430,"Oesophageal cancer"
2003,"Male",11,264,"Oesophageal cancer"
1982,"Male",11,55,"Oesophageal cancer"
2007,"Male",11,301,"Oesophageal cancer"
2019,"Male",10,433,"Oesophageal cancer"
2003,"Male",12,257,"Oesophageal cancer"
1982,"Male",12,61,"Oesophageal cancer"
2007,"Male",12,296,"Oesophageal cancer"
2019,"Male",11,422,"Oesophageal cancer"
1995,"Male",9,191,"Oesophageal cancer"
1982,"Male",13,53,"Oesophageal cancer"
2007,"Male",13,312,"Oesophageal cancer"
2019,"Male",12,418,"Oesophageal cancer"
2003,"Male",14,262,"Oesophageal cancer"
1982,"Male",14,64,"Oesophageal cancer"
2007,"Male",14,299,"Oesophageal cancer"
1993,"Female",15,171,"Oesophageal cancer"
2003,"Male",15,270,"Oesophageal cancer"
1982,"Male",15,55,"Oesophageal cancer"
2007,"Male",15,304,"Oesophageal cancer"
2019,"Male",14,416,"Oesophageal cancer"
1982,"Male",16,47,"Oesophageal cancer"
2011,"Male",15,342,"Oesophageal cancer"
2007,"Male",16,314,"Oesophageal cancer"
2019,"Male",15,417,"Oesophageal cancer"
1982,"Male",17,55,"Oesophageal cancer"
2011,"Male",16,353,"Oesophageal cancer"
2007,"Male",17,302,"Oesophageal cancer"
1993,"Female",18,167,"Oesophageal cancer"
1982,"Male",18,56,"Oesophageal cancer"
2011,"Male",17,335,"Oesophageal cancer"
2007,"Male",18,302,"Oesophageal cancer"
2019,"Male",17,434,"Oesophageal cancer"
2014,"Male",10,376,"Oesophageal cancer"
2011,"Male",18,355,"Oesophageal cancer"
1995,"Male",16,190,"Oesophageal cancer"
2019,"Male",18,427,"Oesophageal cancer"
2018,"Male",10,420,"Oesophageal cancer"
2002,"Male",12,263,"Oesophageal cancer"
1995,"Male",17,176,"Oesophageal cancer"
1991,"Male",14,150,"Oesophageal cancer"
1999,"Female",10,221,"Oesophageal cancer"
2007,"Female",8,301,"Oesophageal cancer"
1995,"Male",18,178,"Oesophageal cancer"
1991,"Male",15,152,"Oesophageal cancer"
2007,"Female",9,303,"Oesophageal cancer"
1982,"Female",12,60,"Oesophageal cancer"
2003,"Female",12,256,"Oesophageal cancer"
1991,"Male",16,139,"Oesophageal cancer"
2019,"Female",10,423,"Oesophageal cancer"
1987,"Male",11,104,"Oesophageal cancer"
2003,"Female",13,258,"Oesophageal cancer"
2015,"Female",11,381,"Oesophageal cancer"
2019,"Female",11,423,"Oesophageal cancer"
1987,"Male",12,97,"Oesophageal cancer"
2003,"Female",14,261,"Oesophageal cancer"
2015,"Female",12,377,"Oesophageal cancer"
2019,"Female",12,421,"Oesophageal cancer"
1987,"Male",13,102,"Oesophageal cancer"
2003,"Female",15,261,"Oesophageal cancer"
1982,"Female",16,56,"Oesophageal cancer"
2019,"Female",13,426,"Oesophageal cancer"
1995,"Female",11,179,"Oesophageal cancer"
1990,"Male",12,126,"Oesophageal cancer"
1982,"Female",17,59,"Oesophageal cancer"
2019,"Female",14,422,"Oesophageal cancer"
1995,"Female",12,186,"Oesophageal cancer"
1998,"Male",18,214,"Oesophageal cancer"
1982,"Female",18,45,"Oesophageal cancer"
2019,"Female",15,430,"Oesophageal cancer"
1987,"Male",16,102,"Oesophageal cancer"
2017,"Male",11,410,"Oesophageal cancer"
2015,"Female",16,380,"Oesophageal cancer"
2019,"Female",16,415,"Oesophageal cancer"
2010,"Female",9,338,"Oesophageal cancer"
2004,"Male",6,272,"Oesophageal cancer"
1983,"Male",9,74,"Oesophageal cancer"
2019,"Female",17,421,"Oesophageal cancer"
1988,"Female",17,118,"Oesophageal cancer"
1983,"Male",10,63,"Oesophageal cancer"
2015,"Female",18,386,"Oesophageal cancer"
2019,"Female",18,419,"Oesophageal cancer"
2004,"Male",9,275,"Oesophageal cancer"
1983,"Male",11,60,"Oesophageal cancer"
1991,"Female",15,135,"Oesophageal cancer"
1995,"Female",17,189,"Oesophageal cancer"
2004,"Male",10,274,"Oesophageal cancer"
1983,"Male",12,68,"Oesophageal cancer"
2020,"Male",9,431,"Oesophageal cancer"
1995,"Female",18,189,"Oesophageal cancer"
2004,"Male",11,268,"Oesophageal cancer"
1983,"Male",13,58,"Oesophageal cancer"
2020,"Male",10,444,"Oesophageal cancer"
2016,"Male",9,387,"Oesophageal cancer"
2004,"Male",12,270,"Oesophageal cancer"
1983,"Male",14,57,"Oesophageal cancer"
2020,"Male",11,428,"Oesophageal cancer"
2016,"Male",10,399,"Oesophageal cancer"
2004,"Male",13,267,"Oesophageal cancer"
1983,"Male",15,60,"Oesophageal cancer"
2020,"Male",12,430,"Oesophageal cancer"
2016,"Male",11,398,"Oesophageal cancer"
2004,"Male",14,270,"Oesophageal cancer"
1996,"Male",10,204,"Oesophageal cancer"
2020,"Male",13,433,"Oesophageal cancer"
2016,"Male",12,389,"Oesophageal cancer"
2004,"Male",15,275,"Oesophageal cancer"
1996,"Male",11,203,"Oesophageal cancer"
2020,"Male",14,440,"Oesophageal cancer"
2016,"Male",13,399,"Oesophageal cancer"
2004,"Male",16,272,"Oesophageal cancer"
1996,"Male",12,200,"Oesophageal cancer"
2020,"Male",15,425,"Oesophageal cancer"
2016,"Male",14,395,"Oesophageal cancer"
2004,"Male",17,281,"Oesophageal cancer"
1996,"Male",13,189,"Oesophageal cancer"
2020,"Male",16,440,"Oesophageal cancer"
2016,"Male",15,393,"Oesophageal cancer"
2004,"Male",18,283,"Oesophageal cancer"
1996,"Male",14,202,"Oesophageal cancer"
2020,"Male",17,433,"Oesophageal cancer"
2016,"Male",16,385,"Oesophageal cancer"
1992,"Male",13,158,"Oesophageal cancer"
1996,"Male",15,195,"Oesophageal cancer"
2020,"Male",18,430,"Oesophageal cancer"
2016,"Male",17,386,"Oesophageal cancer"
1992,"Male",14,157,"Oesophageal cancer"
1996,"Male",16,205,"Oesophageal cancer"
2008,"Male",18,312,"Oesophageal cancer"
1983,"Female",13,68,"Oesophageal cancer"
1992,"Male",15,146,"Oesophageal cancer"
1996,"Male",17,200,"Oesophageal cancer"
2020,"Female",9,425,"Oesophageal cancer"
1988,"Male",10,108,"Oesophageal cancer"
1992,"Male",16,151,"Oesophageal cancer"
1996,"Male",18,197,"Oesophageal cancer"
1983,"Female",15,59,"Oesophageal cancer"
2019,"Male",13,431,"Oesophageal cancer"
2020,"Female",11,439,"Oesophageal cancer"
2000,"Female",11,230,"Oesophageal cancer"
1983,"Female",16,66,"Oesophageal cancer"
2008,"Female",11,312,"Oesophageal cancer"
2020,"Female",12,428,"Oesophageal cancer"
2000,"Female",12,239,"Oesophageal cancer"
1983,"Female",17,74,"Oesophageal cancer"
2008,"Female",12,319,"Oesophageal cancer"
2020,"Female",13,441,"Oesophageal cancer"
2000,"Female",13,232,"Oesophageal cancer"
1996,"Female",10,190,"Oesophageal cancer"
2019,"Male",16,429,"Oesophageal cancer"
2020,"Female",14,440,"Oesophageal cancer"
1996,"Female",11,186,"Oesophageal cancer"
2012,"Female",14,362,"Oesophageal cancer"
2008,"Female",14,317,"Oesophageal cancer"
2020,"Female",15,438,"Oesophageal cancer"
1996,"Female",12,186,"Oesophageal cancer"
1984,"Male",9,77,"Oesophageal cancer"
2008,"Female",15,314,"Oesophageal cancer"
2020,"Female",16,441,"Oesophageal cancer"
1984,"Male",10,81,"Oesophageal cancer"
2012,"Female",16,350,"Oesophageal cancer"
2008,"Female",16,324,"Oesophageal cancer"
2020,"Female",17,434,"Oesophageal cancer"
2000,"Female",17,233,"Oesophageal cancer"
2012,"Female",17,345,"Oesophageal cancer"
2008,"Female",17,318,"Oesophageal cancer"
2020,"Female",18,440,"Oesophageal cancer"
1992,"Female",13,159,"Oesophageal cancer"
2012,"Female",18,356,"Oesophageal cancer"
2008,"Female",18,309,"Oesophageal cancer"
1996,"Female",16,194,"Oesophageal cancer"
1992,"Female",14,149,"Oesophageal cancer"
1984,"Male",14,78,"Oesophageal cancer"
1996,"Female",17,194,"Oesophageal cancer"
2021,"Male",8,446,"Oesophageal cancer"
2005,"Male",10,286,"Oesophageal cancer"
2009,"Male",8,329,"Oesophageal cancer"
1988,"Female",10,122,"Oesophageal cancer"
2021,"Male",9,455,"Oesophageal cancer"
2009,"Male",9,317,"Oesophageal cancer"
2017,"Male",7,403,"Oesophageal cancer"
1988,"Female",12,115,"Oesophageal cancer"
1984,"Male",16,85,"Oesophageal cancer"
2009,"Male",10,335,"Oesophageal cancer"
2003,"Female",16,275,"Oesophageal cancer"
2021,"Male",11,449,"Oesophageal cancer"
1984,"Male",17,69,"Oesophageal cancer"
2009,"Male",11,325,"Oesophageal cancer"
2003,"Female",17,260,"Oesophageal cancer"
2021,"Male",12,451,"Oesophageal cancer"
1997,"Male",9,209,"Oesophageal cancer"
2009,"Male",12,323,"Oesophageal cancer"
2003,"Female",18,255,"Oesophageal cancer"
2021,"Male",13,438,"Oesophageal cancer"
1997,"Male",10,203,"Oesophageal cancer"
1987,"Male",17,101,"Oesophageal cancer"
