"year","sex","ragegrp","count","Cancer.Type"
1995,"Male",15,182,"Oesophageal cancer"
1995,"Female",13,188,"Oesophageal cancer"
1982,"Male",10,47,"Oesophageal cancer"
2002,"Male",12,261,"Oesophageal cancer"
2008,"Male",11,310,"Oesophageal cancer"
2020,"Male",14,428,"Oesophageal cancer"
1982,"Male",11,54,"Oesophageal cancer"
2016,"Male",7,395,"Oesophageal cancer"
2010,"Male",10,326,"Oesophageal cancer"
2019,"Male",13,421,"Oesophageal cancer"
2008,"Male",9,314,"Oesophageal cancer"
2002,"Female",12,255,"Oesophageal cancer"
2000,"Female",13,227,"Oesophageal cancer"
2006,"Female",11,290,"Oesophageal cancer"
2020,"Male",16,441,"Oesophageal cancer"
2019,"Male",11,418,"Oesophageal cancer"
1986,"Male",12,85,"Oesophageal cancer"
2018,"Female",15,411,"Oesophageal cancer"
2009,"Male",18,322,"Oesophageal cancer"
1984,"Male",8,81,"Oesophageal cancer"
2017,"Male",16,398,"Oesophageal cancer"
1997,"Male",10,203,"Oesophageal cancer"
2011,"Male",12,335,"Oesophageal cancer"
1982,"Female",10,65,"Oesophageal cancer"
2010,"Male",14,341,"Oesophageal cancer"
1998,"Male",17,207,"Oesophageal cancer"
1992,"Male",16,160,"Oesophageal cancer"
2019,"Male",14,420,"Oesophageal cancer"
2010,"Male",15,329,"Oesophageal cancer"
2007,"Male",13,311,"Oesophageal cancer"
1992,"Male",17,154,"Oesophageal cancer"
1999,"Female",12,228,"Oesophageal cancer"
1985,"Male",8,79,"Oesophageal cancer"
1985,"Male",9,88,"Oesophageal cancer"
1984,"Male",12,78,"Oesophageal cancer"
1995,"Female",15,186,"Oesophageal cancer"
1999,"Female",10,219,"Oesophageal cancer"
2001,"Female",14,237,"Oesophageal cancer"
1999,"Female",14,235,"Oesophageal cancer"
2006,"Female",17,287,"Oesophageal cancer"
2010,"Male",18,325,"Oesophageal cancer"
1994,"Female",18,180,"Oesophageal cancer"
2008,"Male",10,311,"Oesophageal cancer"
2012,"Male",17,350,"Oesophageal cancer"
1999,"Male",17,225,"Oesophageal cancer"
2006,"Female",9,289,"Oesophageal cancer"
1992,"Male",11,146,"Oesophageal cancer"
1997,"Male",16,208,"Oesophageal cancer"
2002,"Male",13,256,"Oesophageal cancer"
2002,"Male",10,252,"Oesophageal cancer"
1982,"Male",12,53,"Oesophageal cancer"
2016,"Male",8,391,"Oesophageal cancer"
2021,"Male",9,447,"Oesophageal cancer"
1997,"Male",18,199,"Oesophageal cancer"
2009,"Male",17,329,"Oesophageal cancer"
2018,"Female",14,409,"Oesophageal cancer"
2002,"Male",15,247,"Oesophageal cancer"
2011,"Male",17,339,"Oesophageal cancer"
2020,"Male",17,428,"Oesophageal cancer"
2007,"Male",10,306,"Oesophageal cancer"
1993,"Female",8,170,"Oesophageal cancer"
1998,"Male",16,218,"Oesophageal cancer"
1985,"Male",13,89,"Oesophageal cancer"
2007,"Male",11,315,"Oesophageal cancer"
1989,"Male",10,115,"Oesophageal cancer"
2007,"Male",12,302,"Oesophageal cancer"
2001,"Male",13,247,"Oesophageal cancer"
1996,"Male",16,205,"Oesophageal cancer"
1995,"Male",12,182,"Oesophageal cancer"
1989,"Male",11,128,"Oesophageal cancer"
2001,"Male",14,255,"Oesophageal cancer"
1984,"Male",11,83,"Oesophageal cancer"
2003,"Female",11,266,"Oesophageal cancer"
2000,"Male",10,244,"Oesophageal cancer"
1992,"Male",18,146,"Oesophageal cancer"
1996,"Male",8,190,"Oesophageal cancer"
2007,"Male",14,295,"Oesophageal cancer"
1994,"Female",17,181,"Oesophageal cancer"
1998,"Female",18,211,"Oesophageal cancer"
1984,"Male",13,75,"Oesophageal cancer"
2020,"Male",12,426,"Oesophageal cancer"
2000,"Male",12,240,"Oesophageal cancer"
1984,"Male",14,67,"Oesophageal cancer"
2006,"Male",11,288,"Oesophageal cancer"
1988,"Female",17,112,"Oesophageal cancer"
2016,"Male",17,395,"Oesophageal cancer"
2009,"Male",15,325,"Oesophageal cancer"
1986,"Female",17,90,"Oesophageal cancer"
2002,"Female",11,253,"Oesophageal cancer"
1995,"Male",17,178,"Oesophageal cancer"
1986,"Male",10,87,"Oesophageal cancer"
2008,"Male",12,316,"Oesophageal cancer"
2019,"Male",10,435,"Oesophageal cancer"
1989,"Male",17,121,"Oesophageal cancer"
2003,"Female",17,262,"Oesophageal cancer"
1984,"Male",17,79,"Oesophageal cancer"
1988,"Male",11,114,"Oesophageal cancer"
2014,"Male",9,382,"Oesophageal cancer"
2013,"Male",15,370,"Oesophageal cancer"
2003,"Female",18,257,"Oesophageal cancer"
2011,"Male",18,348,"Oesophageal cancer"
1995,"Female",18,187,"Oesophageal cancer"
2009,"Male",9,333,"Oesophageal cancer"
2020,"Male",18,443,"Oesophageal cancer"
1988,"Male",13,120,"Oesophageal cancer"
1983,"Female",12,66,"Oesophageal cancer"
1985,"Female",16,94,"Oesophageal cancer"
2012,"Male",13,364,"Oesophageal cancer"
1988,"Male",14,106,"Oesophageal cancer"
2001,"Female",12,236,"Oesophageal cancer"
2005,"Male",14,280,"Oesophageal cancer"
2017,"Male",7,408,"Oesophageal cancer"
1996,"Female",16,193,"Oesophageal cancer"
1993,"Male",13,159,"Oesophageal cancer"
1999,"Male",14,217,"Oesophageal cancer"
1992,"Female",16,152,"Oesophageal cancer"
2022,"Female",17,454,"Oesophageal cancer"
1984,"Female",11,65,"Oesophageal cancer"
2014,"Female",12,374,"Oesophageal cancer"
1989,"Female",11,129,"Oesophageal cancer"
2022,"Female",18,455,"Oesophageal cancer"
2000,"Female",10,233,"Oesophageal cancer"
2014,"Female",13,378,"Oesophageal cancer"
2010,"Male",9,341,"Oesophageal cancer"
2013,"Female",8,359,"Oesophageal cancer"
2003,"Female",15,272,"Oesophageal cancer"
2013,"Male",12,362,"Oesophageal cancer"
2021,"Female",15,448,"Oesophageal cancer"
1984,"Female",14,66,"Oesophageal cancer"
1993,"Male",17,158,"Oesophageal cancer"
2014,"Female",15,381,"Oesophageal cancer"
1992,"Male",12,149,"Oesophageal cancer"
1984,"Female",15,80,"Oesophageal cancer"
1993,"Male",18,164,"Oesophageal cancer"
2014,"Female",16,385,"Oesophageal cancer"
1992,"Male",13,151,"Oesophageal cancer"
2014,"Female",17,379,"Oesophageal cancer"
1984,"Female",17,65,"Oesophageal cancer"
2006,"Female",12,291,"Oesophageal cancer"
1992,"Male",14,152,"Oesophageal cancer"
2004,"Female",15,277,"Oesophageal cancer"
2002,"Female",14,253,"Oesophageal cancer"
1991,"Male",10,155,"Oesophageal cancer"
1992,"Male",15,149,"Oesophageal cancer"
1986,"Male",13,90,"Oesophageal cancer"
1989,"Female",18,122,"Oesophageal cancer"
2004,"Male",17,279,"Oesophageal cancer"
2022,"Male",7,459,"Oesophageal cancer"
2009,"Male",10,316,"Oesophageal cancer"
2004,"Male",18,274,"Oesophageal cancer"
2012,"Female",11,364,"Oesophageal cancer"
2008,"Male",4,312,"Oesophageal cancer"
1993,"Female",10,166,"Oesophageal cancer"
1986,"Male",15,103,"Oesophageal cancer"
1994,"Female",16,173,"Oesophageal cancer"
1998,"Male",8,224,"Oesophageal cancer"
1986,"Male",16,93,"Oesophageal cancer"
2010,"Male",17,333,"Oesophageal cancer"
1985,"Male",10,84,"Oesophageal cancer"
2005,"Female",14,283,"Oesophageal cancer"
1986,"Male",17,102,"Oesophageal cancer"
1997,"Male",14,203,"Oesophageal cancer"
1993,"Female",13,155,"Oesophageal cancer"
2009,"Male",14,329,"Oesophageal cancer"
2004,"Female",10,285,"Oesophageal cancer"
1993,"Male",16,164,"Oesophageal cancer"
2000,"Female",11,242,"Oesophageal cancer"
2007,"Male",5,296,"Oesophageal cancer"
2005,"Female",16,287,"Oesophageal cancer"
2003,"Male",18,262,"Oesophageal cancer"
2018,"Female",12,421,"Oesophageal cancer"
2001,"Male",9,247,"Oesophageal cancer"
2005,"Female",17,278,"Oesophageal cancer"
1997,"Male",17,200,"Oesophageal cancer"
2018,"Female",13,420,"Oesophageal cancer"
1985,"Male",14,90,"Oesophageal cancer"
2007,"Male",9,295,"Oesophageal cancer"
2011,"Female",13,350,"Oesophageal cancer"
1991,"Male",18,138,"Oesophageal cancer"
1993,"Female",18,173,"Oesophageal cancer"
2001,"Male",11,236,"Oesophageal cancer"
2019,"Female",9,434,"Oesophageal cancer"
2014,"Female",18,383,"Oesophageal cancer"
1995,"Male",10,177,"Oesophageal cancer"
2001,"Male",12,245,"Oesophageal cancer"
2004,"Female",16,277,"Oesophageal cancer"
1984,"Male",9,80,"Oesophageal cancer"
1985,"Male",17,89,"Oesophageal cancer"
1990,"Male",15,136,"Oesophageal cancer"
1992,"Female",14,157,"Oesophageal cancer"
2008,"Male",16,322,"Oesophageal cancer"
1985,"Male",18,93,"Oesophageal cancer"
1992,"Female",15,161,"Oesophageal cancer"
2011,"Female",17,347,"Oesophageal cancer"
2008,"Male",17,305,"Oesophageal cancer"
1993,"Female",11,155,"Oesophageal cancer"
2001,"Male",15,245,"Oesophageal cancer"
2011,"Female",18,351,"Oesophageal cancer"
2000,"Male",11,229,"Oesophageal cancer"
2001,"Male",16,245,"Oesophageal cancer"
1994,"Male",9,184,"Oesophageal cancer"
1997,"Female",12,198,"Oesophageal cancer"
1991,"Female",12,146,"Oesophageal cancer"
2003,"Female",14,275,"Oesophageal cancer"
1992,"Female",18,155,"Oesophageal cancer"
1997,"Male",15,213,"Oesophageal cancer"
2018,"Female",11,425,"Oesophageal cancer"
1985,"Female",9,75,"Oesophageal cancer"
1984,"Male",15,82,"Oesophageal cancer"
2003,"Female",16,266,"Oesophageal cancer"
2000,"Male",14,238,"Oesophageal cancer"
2019,"Male",9,423,"Oesophageal cancer"
1984,"Male",16,77,"Oesophageal cancer"
2020,"Male",15,433,"Oesophageal cancer"
2012,"Male",9,349,"Oesophageal cancer"
2022,"Female",11,453,"Oesophageal cancer"
1996,"Female",12,201,"Oesophageal cancer"
2022,"Female",12,447,"Oesophageal cancer"
1991,"Female",16,153,"Oesophageal cancer"
2005,"Male",11,288,"Oesophageal cancer"
2015,"Female",13,391,"Oesophageal cancer"
2011,"Female",14,342,"Oesophageal cancer"
2012,"Male",11,356,"Oesophageal cancer"
1993,"Male",10,175,"Oesophageal cancer"
2005,"Male",12,291,"Oesophageal cancer"
1990,"Female",12,144,"Oesophageal cancer"
2002,"Female",15,257,"Oesophageal cancer"
2005,"Male",13,285,"Oesophageal cancer"
1994,"Male",16,168,"Oesophageal cancer"
2004,"Male",7,270,"Oesophageal cancer"
2022,"Female",15,452,"Oesophageal cancer"
1999,"Male",13,231,"Oesophageal cancer"
1989,"Female",9,135,"Oesophageal cancer"
2012,"Male",14,353,"Oesophageal cancer"
1990,"Female",14,133,"Oesophageal cancer"
2014,"Female",11,371,"Oesophageal cancer"
1989,"Female",10,131,"Oesophageal cancer"
1996,"Female",17,204,"Oesophageal cancer"
1993,"Male",14,174,"Oesophageal cancer"
1983,"Male",15,56,"Oesophageal cancer"
1987,"Male",11,112,"Oesophageal cancer"
2012,"Male",16,349,"Oesophageal cancer"
2015,"Female",18,376,"Oesophageal cancer"
1987,"Male",12,112,"Oesophageal cancer"
2011,"Male",13,348,"Oesophageal cancer"
2018,"Male",15,411,"Oesophageal cancer"
1995,"Male",16,194,"Oesophageal cancer"
1998,"Male",11,210,"Oesophageal cancer"
2008,"Female",18,312,"Oesophageal cancer"
2005,"Male",18,288,"Oesophageal cancer"
2012,"Male",18,347,"Oesophageal cancer"
1998,"Male",12,216,"Oesophageal cancer"
2021,"Female",16,436,"Oesophageal cancer"
2007,"Female",15,310,"Oesophageal cancer"
2013,"Female",10,374,"Oesophageal cancer"
1984,"Female",16,81,"Oesophageal cancer"
2021,"Female",17,446,"Oesophageal cancer"
1986,"Male",11,93,"Oesophageal cancer"
1997,"Male",8,213,"Oesophageal cancer"
2004,"Male",15,273,"Oesophageal cancer"
1982,"Male",13,65,"Oesophageal cancer"
1988,"Male",12,112,"Oesophageal cancer"
2006,"Female",13,295,"Oesophageal cancer"
1991,"Male",9,136,"Oesophageal cancer"
1982,"Male",14,47,"Oesophageal cancer"
1994,"Female",13,183,"Oesophageal cancer"
2016,"Male",11,388,"Oesophageal cancer"
2019,"Female",10,432,"Oesophageal cancer"
1987,"Male",18,103,"Oesophageal cancer"
1999,"Female",11,222,"Oesophageal cancer"
2016,"Male",12,390,"Oesophageal cancer"
1991,"Male",11,149,"Oesophageal cancer"
2006,"Female",15,297,"Oesophageal cancer"
2005,"Female",12,292,"Oesophageal cancer"
2009,"Male",11,323,"Oesophageal cancer"
1991,"Male",12,140,"Oesophageal cancer"
2012,"Female",12,364,"Oesophageal cancer"
2016,"Male",14,392,"Oesophageal cancer"
2013,"Female",16,355,"Oesophageal cancer"
1991,"Male",13,138,"Oesophageal cancer"
1996,"Male",9,201,"Oesophageal cancer"
2016,"Male",15,387,"Oesophageal cancer"
2009,"Male",13,322,"Oesophageal cancer"
1991,"Male",14,150,"Oesophageal cancer"
2012,"Female",14,345,"Oesophageal cancer"
2019,"Female",15,426,"Oesophageal cancer"
1990,"Female",17,126,"Oesophageal cancer"
1991,"Male",15,139,"Oesophageal cancer"
2012,"Female",15,346,"Oesophageal cancer"
2001,"Male",8,238,"Oesophageal cancer"
2011,"Female",11,335,"Oesophageal cancer"
1991,"Male",16,137,"Oesophageal cancer"
2012,"Female",16,353,"Oesophageal cancer"
2004,"Female",12,279,"Oesophageal cancer"
1987,"Female",12,111,"Oesophageal cancer"
1991,"Male",17,136,"Oesophageal cancer"
2012,"Female",17,363,"Oesophageal cancer"
2004,"Female",13,266,"Oesophageal cancer"
2019,"Female",18,434,"Oesophageal cancer"
2021,"Male",10,435,"Oesophageal cancer"
2012,"Female",18,364,"Oesophageal cancer"
1998,"Female",12,220,"Oesophageal cancer"
1996,"Male",14,201,"Oesophageal cancer"
1987,"Female",15,96,"Oesophageal cancer"
2002,"Male",16,249,"Oesophageal cancer"
1998,"Female",13,222,"Oesophageal cancer"
2011,"Female",15,335,"Oesophageal cancer"
2014,"Male",11,383,"Oesophageal cancer"
1998,"Female",14,205,"Oesophageal cancer"
1995,"Male",11,179,"Oesophageal cancer"
2011,"Female",16,337,"Oesophageal cancer"
1987,"Female",17,98,"Oesophageal cancer"
2021,"Male",13,436,"Oesophageal cancer"
2004,"Female",17,280,"Oesophageal cancer"
1991,"Female",9,152,"Oesophageal cancer"
2016,"Female",11,387,"Oesophageal cancer"
1998,"Female",16,224,"Oesophageal cancer"
2013,"Male",9,355,"Oesophageal cancer"
2006,"Male",9,292,"Oesophageal cancer"
1998,"Female",17,218,"Oesophageal cancer"
2013,"Male",10,370,"Oesophageal cancer"
1991,"Female",11,150,"Oesophageal cancer"
2006,"Male",10,286,"Oesophageal cancer"
1989,"Male",14,134,"Oesophageal cancer"
2009,"Female",11,321,"Oesophageal cancer"
2014,"Male",15,370,"Oesophageal cancer"
1998,"Female",7,218,"Oesophageal cancer"
2000,"Male",13,239,"Oesophageal cancer"
2020,"Male",13,434,"Oesophageal cancer"
2014,"Male",16,378,"Oesophageal cancer"
2022,"Female",10,455,"Oesophageal cancer"
1997,"Female",14,213,"Oesophageal cancer"
1991,"Female",14,155,"Oesophageal cancer"
2013,"Male",13,365,"Oesophageal cancer"
1986,"Female",18,103,"Oesophageal cancer"
1988,"Male",10,105,"Oesophageal cancer"
1991,"Female",15,153,"Oesophageal cancer"
1999,"Male",9,232,"Oesophageal cancer"
2006,"Male",14,290,"Oesophageal cancer"
1990,"Female",9,127,"Oesophageal cancer"
2009,"Female",15,332,"Oesophageal cancer"
1999,"Male",10,234,"Oesophageal cancer"
1984,"Male",18,82,"Oesophageal cancer"
2016,"Female",18,394,"Oesophageal cancer"
1991,"Female",17,148,"Oesophageal cancer"
2013,"Male",16,357,"Oesophageal cancer"
2006,"Male",16,291,"Oesophageal cancer"
2012,"Male",12,354,"Oesophageal cancer"
1993,"Male",11,171,"Oesophageal cancer"
2013,"Male",17,357,"Oesophageal cancer"
2015,"Female",15,377,"Oesophageal cancer"
2011,"Male",9,352,"Oesophageal cancer"
2013,"Male",18,363,"Oesophageal cancer"
1994,"Male",17,183,"Oesophageal cancer"
1984,"Female",9,77,"Oesophageal cancer"
2006,"Male",18,305,"Oesophageal cancer"
1987,"Male",10,95,"Oesophageal cancer"
1994,"Male",18,173,"Oesophageal cancer"
2012,"Male",15,346,"Oesophageal cancer"
2015,"Female",17,377,"Oesophageal cancer"
1992,"Male",8,148,"Oesophageal cancer"
1999,"Male",15,234,"Oesophageal cancer"
2017,"Male",9,410,"Oesophageal cancer"
1992,"Male",9,145,"Oesophageal cancer"
1999,"Male",16,221,"Oesophageal cancer"
2010,"Male",8,325,"Oesophageal cancer"
2001,"Female",15,248,"Oesophageal cancer"
1984,"Female",13,74,"Oesophageal cancer"
2020,"Female",10,431,"Oesophageal cancer"
1995,"Female",14,185,"Oesophageal cancer"
2017,"Male",11,400,"Oesophageal cancer"
2013,"Female",9,373,"Oesophageal cancer"
2018,"Male",16,417,"Oesophageal cancer"
2003,"Male",8,273,"Oesophageal cancer"
2017,"Male",12,410,"Oesophageal cancer"
1997,"Male",6,212,"Oesophageal cancer"
2018,"Male",17,409,"Oesophageal cancer"
1995,"Female",16,181,"Oesophageal cancer"
2017,"Male",13,403,"Oesophageal cancer"
1994,"Female",11,168,"Oesophageal cancer"
1987,"Male",16,111,"Oesophageal cancer"
1995,"Female",17,177,"Oesophageal cancer"
2017,"Male",14,415,"Oesophageal cancer"
1989,"Female",17,130,"Oesophageal cancer"
1984,"Female",18,77,"Oesophageal cancer"
2003,"Male",11,273,"Oesophageal cancer"
2017,"Male",15,400,"Oesophageal cancer"
2013,"Female",13,365,"Oesophageal cancer"
1988,"Female",11,112,"Oesophageal cancer"
2003,"Male",12,261,"Oesophageal cancer"
2006,"Female",14,287,"Oesophageal cancer"
2013,"Female",14,358,"Oesophageal cancer"
1986,"Male",14,96,"Oesophageal cancer"
1997,"Male",11,210,"Oesophageal cancer"
2017,"Male",17,404,"Oesophageal cancer"
2013,"Female",15,368,"Oesophageal cancer"
2010,"Male",16,333,"Oesophageal cancer"
2003,"Male",14,259,"Oesophageal cancer"
2006,"Female",16,291,"Oesophageal cancer"
2015,"Male",9,392,"Oesophageal cancer"
1997,"Male",13,215,"Oesophageal cancer"
2012,"Female",13,351,"Oesophageal cancer"
2013,"Female",17,366,"Oesophageal cancer"
2011,"Female",9,341,"Oesophageal cancer"
2015,"Male",10,375,"Oesophageal cancer"
2003,"Male",16,274,"Oesophageal cancer"
1993,"Female",14,157,"Oesophageal cancer"
1996,"Male",10,199,"Oesophageal cancer"
1999,"Female",15,220,"Oesophageal cancer"
2003,"Male",17,262,"Oesophageal cancer"
1983,"Female",17,62,"Oesophageal cancer"
2019,"Female",16,426,"Oesophageal cancer"
1999,"Female",16,227,"Oesophageal cancer"
1988,"Female",18,108,"Oesophageal cancer"
2019,"Female",17,434,"Oesophageal cancer"
1992,"Female",9,151,"Oesophageal cancer"
1999,"Female",17,234,"Oesophageal cancer"
2015,"Male",13,378,"Oesophageal cancer"
1987,"Female",13,101,"Oesophageal cancer"
1996,"Male",13,190,"Oesophageal cancer"
2015,"Male",14,393,"Oesophageal cancer"
1992,"Female",11,146,"Oesophageal cancer"
1985,"Male",15,89,"Oesophageal cancer"
2004,"Female",14,266,"Oesophageal cancer"
2008,"Male",14,313,"Oesophageal cancer"
2021,"Male",11,454,"Oesophageal cancer"
1985,"Male",16,93,"Oesophageal cancer"
1996,"Male",15,198,"Oesophageal cancer"
2008,"Male",15,311,"Oesophageal cancer"
2021,"Male",12,441,"Oesophageal cancer"
2000,"Male",8,240,"Oesophageal cancer"
2017,"Female",13,407,"Oesophageal cancer"
2006,"Male",6,303,"Oesophageal cancer"
2018,"Female",17,416,"Oesophageal cancer"
2020,"Male",9,426,"Oesophageal cancer"
1996,"Male",17,187,"Oesophageal cancer"
2015,"Male",18,381,"Oesophageal cancer"
2021,"Male",14,442,"Oesophageal cancer"
2014,"Male",13,373,"Oesophageal cancer"
1996,"Male",18,190,"Oesophageal cancer"
2003,"Female",12,255,"Oesophageal cancer"
2021,"Male",15,437,"Oesophageal cancer"
2014,"Male",14,378,"Oesophageal cancer"
1992,"Female",17,162,"Oesophageal cancer"
1990,"Male",18,126,"Oesophageal cancer"
2021,"Male",16,438,"Oesophageal cancer"
1986,"Female",15,99,"Oesophageal cancer"
2013,"Male",11,357,"Oesophageal cancer"
1986,"Female",16,103,"Oesophageal cancer"
2021,"Male",17,444,"Oesophageal cancer"
1991,"Female",13,152,"Oesophageal cancer"
2006,"Male",12,303,"Oesophageal cancer"
2016,"Female",15,402,"Oesophageal cancer"
1996,"Female",10,191,"Oesophageal cancer"
2009,"Female",13,316,"Oesophageal cancer"
2006,"Male",13,292,"Oesophageal cancer"
1996,"Female",11,192,"Oesophageal cancer"
1993,"Male",7,167,"Oesophageal cancer"
2000,"Male",15,232,"Oesophageal cancer"
1993,"Male",8,161,"Oesophageal cancer"
2016,"Female",17,400,"Oesophageal cancer"
1989,"Male",18,118,"Oesophageal cancer"
1993,"Male",9,165,"Oesophageal cancer"
1983,"Male",10,57,"Oesophageal cancer"
2000,"Male",17,236,"Oesophageal cancer"
2007,"Female",7,314,"Oesophageal cancer"
2018,"Male",9,410,"Oesophageal cancer"
1983,"Male",11,67,"Oesophageal cancer"
2015,"Female",14,385,"Oesophageal cancer"
1991,"Female",18,135,"Oesophageal cancer"
2018,"Male",10,414,"Oesophageal cancer"
2021,"Female",10,446,"Oesophageal cancer"
2006,"Male",17,292,"Oesophageal cancer"
2007,"Female",9,312,"Oesophageal cancer"
2002,"Female",16,265,"Oesophageal cancer"
1993,"Male",12,168,"Oesophageal cancer"
2011,"Male",10,336,"Oesophageal cancer"
1985,"Female",17,93,"Oesophageal cancer"
2002,"Female",17,255,"Oesophageal cancer"
2021,"Female",12,443,"Oesophageal cancer"
2011,"Male",11,345,"Oesophageal cancer"
1985,"Female",18,89,"Oesophageal cancer"
2004,"Male",10,266,"Oesophageal cancer"
2002,"Female",18,258,"Oesophageal cancer"
1996,"Female",18,193,"Oesophageal cancer"
1993,"Male",15,159,"Oesophageal cancer"
2004,"Male",11,272,"Oesophageal cancer"
2021,"Female",14,453,"Oesophageal cancer"
2007,"Female",13,302,"Oesophageal cancer"
1982,"Male",9,54,"Oesophageal cancer"
2014,"Female",14,377,"Oesophageal cancer"
1989,"Female",13,132,"Oesophageal cancer"
2007,"Female",14,300,"Oesophageal cancer"
2015,"Male",12,395,"Oesophageal cancer"
1986,"Male",9,93,"Oesophageal cancer"
1989,"Female",14,127,"Oesophageal cancer"
2001,"Female",17,236,"Oesophageal cancer"
1994,"Female",9,181,"Oesophageal cancer"
2004,"Male",14,268,"Oesophageal cancer"
1989,"Female",15,126,"Oesophageal cancer"
2013,"Female",11,360,"Oesophageal cancer"
2010,"Male",12,327,"Oesophageal cancer"
1998,"Male",14,222,"Oesophageal cancer"
2000,"Female",14,227,"Oesophageal cancer"
1998,"Male",15,209,"Oesophageal cancer"
2007,"Female",17,303,"Oesophageal cancer"
2004,"Male",16,276,"Oesophageal cancer"
2000,"Female",15,233,"Oesophageal cancer"
2007,"Female",18,303,"Oesophageal cancer"
2003,"Female",9,263,"Oesophageal cancer"
2018,"Female",16,424,"Oesophageal cancer"
1982,"Male",15,60,"Oesophageal cancer"
2000,"Female",16,236,"Oesophageal cancer"
1988,"Female",12,111,"Oesophageal cancer"
2019,"Female",11,422,"Oesophageal cancer"
2000,"Female",17,229,"Oesophageal cancer"
1982,"Male",16,55,"Oesophageal cancer"
2016,"Male",13,402,"Oesophageal cancer"
2000,"Female",18,235,"Oesophageal cancer"
2011,"Female",7,341,"Oesophageal cancer"
1983,"Female",14,72,"Oesophageal cancer"
1982,"Male",17,52,"Oesophageal cancer"
2003,"Male",15,274,"Oesophageal cancer"
1993,"Female",12,169,"Oesophageal cancer"
1983,"Female",15,64,"Oesophageal cancer"
2008,"Male",8,322,"Oesophageal cancer"
2018,"Female",10,405,"Oesophageal cancer"
2016,"Male",16,392,"Oesophageal cancer"
1990,"Male",9,137,"Oesophageal cancer"
2011,"Female",10,346,"Oesophageal cancer"
2015,"Male",11,386,"Oesophageal cancer"
2021,"Male",7,449,"Oesophageal cancer"
2004,"Female",11,273,"Oesophageal cancer"
1989,"Male",16,133,"Oesophageal cancer"
1996,"Male",11,190,"Oesophageal cancer"
1996,"Male",12,199,"Oesophageal cancer"
1990,"Male",11,131,"Oesophageal cancer"
2011,"Female",12,344,"Oesophageal cancer"
2016,"Female",16,401,"Oesophageal cancer"
2014,"Male",8,375,"Oesophageal cancer"
1990,"Male",12,137,"Oesophageal cancer"
1998,"Female",11,223,"Oesophageal cancer"
2005,"Female",18,290,"Oesophageal cancer"
1982,"Female",12,63,"Oesophageal cancer"
1995,"Male",9,183,"Oesophageal cancer"
